"Time","Timestamp","PP","NR_PP"
0,2019-02-18 12:08:14,"0.00582127886666667","0.00396052147011258"
1,2019-02-18 12:08:15,"0.003487612","0.00377169800639953"
2,2019-02-18 12:08:16,"0.00247947721428571","0.00355277050289151"
3,2019-02-18 12:08:17,"0.0030514876","0.00343342147808978"
4,2019-02-18 12:08:18,"0.0048356335","0.0034039013830381"
5,2019-02-18 12:08:19,"",""
6,2019-02-18 12:08:20,"",""
7,2019-02-18 12:08:21,"",""
8,2019-02-18 12:08:22,"",""
9,2019-02-18 12:08:23,"",""
10,2019-02-18 12:08:24,"",""
11,2019-02-18 12:08:25,"",""
12,2019-02-18 12:08:26,"",""
13,2019-02-18 12:08:27,"",""
14,2019-02-18 12:08:28,"",""
15,2019-02-18 12:08:29,"",""
16,2019-02-18 12:08:30,"",""
17,2019-02-18 12:08:31,"",""
18,2019-02-18 12:08:32,"",""
19,2019-02-18 12:08:33,"",""
20,2019-02-18 12:08:34,"",""
21,2019-02-18 12:08:35,"",""
22,2019-02-18 12:08:36,"",""
23,2019-02-18 12:08:37,"",""
24,2019-02-18 12:08:38,"",""
25,2019-02-18 12:08:39,"",""
26,2019-02-18 12:08:40,"",""
27,2019-02-18 12:08:41,"",""
28,2019-02-18 12:08:42,"",""
29,2019-02-18 12:08:43,"",""
30,2019-02-18 12:08:44,"",""
31,2019-02-18 12:08:45,"",""
32,2019-02-18 12:08:46,"",""
33,2019-02-18 12:08:47,"",""
34,2019-02-18 12:08:48,"",""
35,2019-02-18 12:08:49,"",""
36,2019-02-18 12:08:50,"",""
37,2019-02-18 12:08:51,"",""
38,2019-02-18 12:08:52,"",""
39,2019-02-18 12:08:53,"",""
40,2019-02-18 12:08:54,"",""
41,2019-02-18 12:08:55,"0.00331536416666667","0.00337552142497578"
42,2019-02-18 12:08:56,"0.00326446708333333","0.00331976824962228"
43,2019-02-18 12:08:57,"0.00296592330769231","0.00325546782645133"
44,2019-02-18 12:08:58,"0.003080353875","0.00322067733196997"
45,2019-02-18 12:08:59,"",""
46,2019-02-18 12:09:00,"",""
47,2019-02-18 12:09:01,"",""
48,2019-02-18 12:09:02,"",""
49,2019-02-18 12:09:03,"",""
50,2019-02-18 12:09:04,"",""
51,2019-02-18 12:09:05,"",""
52,2019-02-18 12:09:06,"",""
53,2019-02-18 12:09:07,"",""
54,2019-02-18 12:09:08,"",""
55,2019-02-18 12:09:09,"",""
56,2019-02-18 12:09:10,"",""
57,2019-02-18 12:09:11,"",""
58,2019-02-18 12:09:12,"",""
59,2019-02-18 12:09:13,"",""
60,2019-02-18 12:09:14,"",""
61,2019-02-18 12:09:15,"",""
62,2019-02-18 12:09:16,"",""
63,2019-02-18 12:09:17,"",""
64,2019-02-18 12:09:18,"",""
65,2019-02-18 12:09:19,"",""
66,2019-02-18 12:09:20,"",""
67,2019-02-18 12:09:21,"",""
68,2019-02-18 12:09:22,"",""
69,2019-02-18 12:09:23,"",""
70,2019-02-18 12:09:24,"",""
71,2019-02-18 12:09:25,"",""
72,2019-02-18 12:09:26,"",""
73,2019-02-18 12:09:27,"",""
74,2019-02-18 12:09:28,"",""
75,2019-02-18 12:09:29,"",""
76,2019-02-18 12:09:30,"",""
77,2019-02-18 12:09:31,"",""
78,2019-02-18 12:09:32,"",""
79,2019-02-18 12:09:33,"",""
80,2019-02-18 12:09:34,"",""
81,2019-02-18 12:09:35,"",""
82,2019-02-18 12:09:36,"",""
83,2019-02-18 12:09:37,"",""
84,2019-02-18 12:09:38,"",""
85,2019-02-18 12:09:39,"",""
86,2019-02-18 12:09:40,"",""
87,2019-02-18 12:09:41,"",""
88,2019-02-18 12:09:42,"",""
89,2019-02-18 12:09:43,"",""
90,2019-02-18 12:09:44,"",""
91,2019-02-18 12:09:45,"",""
92,2019-02-18 12:09:46,"",""
93,2019-02-18 12:09:47,"",""
94,2019-02-18 12:09:48,"",""
95,2019-02-18 12:09:49,"",""
96,2019-02-18 12:09:50,"",""
97,2019-02-18 12:09:51,"",""
98,2019-02-18 12:09:52,"",""
99,2019-02-18 12:09:53,"0.00283753411764706","0.0032203915699514"
100,2019-02-18 12:09:54,"0.00392176535294118","0.00320702865796926"
101,2019-02-18 12:09:55,"0.00289097488235294","0.00308138483763924"
102,2019-02-18 12:09:56,"0.00259878266666667","0.00294553215964981"
103,2019-02-18 12:09:57,"0.00259404105555556","0.00287320745156978"
104,2019-02-18 12:09:58,"0.00259910315","0.00289435709990282"
105,2019-02-18 12:09:59,"0.0029893103","0.00293876205555009"
106,2019-02-18 12:10:00,"0.0027419185","0.00297641651714469"
107,2019-02-18 12:10:01,"0.00289741347368421","0.00307429227709049"
108,2019-02-18 12:10:02,"0.00377971406666667","0.00316700675945475"
109,2019-02-18 12:10:03,"0.00294981138888889","0.00318219763251592"
110,2019-02-18 12:10:04,"0.00297291755555556","0.00320822608859008"
111,2019-02-18 12:10:05,"0.00284077133333333","0.0032900746730959"
112,2019-02-18 12:10:06,"0.0050434958","0.00335325345848737"
113,2019-02-18 12:10:07,"0.00355157270588235","0.00324863085891161"
114,2019-02-18 12:10:08,"0.00279234852941176","0.00301843317262097"
115,2019-02-18 12:10:09,"0.00238010927777778","0.00281674812612652"
116,2019-02-18 12:10:10,"0.00195638476470588","0.00272090073765809"
117,2019-02-18 12:10:11,"0.00258613488888889","0.00278167876804671"
118,2019-02-18 12:10:12,"0.00306010727777778","0.00289006299952676"
119,2019-02-18 12:10:13,"0.0034912169375","0.00291177374542471"
120,2019-02-18 12:10:14,"0.00233458178947368","0.00287905486390198"
121,2019-02-18 12:10:15,"0.00267177876470588","0.00296187088455053"
122,2019-02-18 12:10:16,"0.00379085152941176","0.00308355929236676"
123,2019-02-18 12:10:17,"0.00317326611764706","0.00306514318837819"
124,2019-02-18 12:10:18,"0.0020085344","0.00303295727727971"
125,2019-02-18 12:10:19,"0.00348060761111111","0.00315948206063254"
126,2019-02-18 12:10:20,"0.00394293766666667","0.00328153265189581"
127,2019-02-18 12:10:21,"0.00313744772222222","0.00321915437153173"
128,2019-02-18 12:10:22,"0.00301771472222222","0.0031492724972798"
129,2019-02-18 12:10:23,"0.00249186907142857","0.00320085877151041"
130,2019-02-18 12:10:24,"0.00410196588235294","0.00329712849831879"
131,2019-02-18 12:10:25,"0.00358936486666667","0.00332348749815376"
132,2019-02-18 12:10:26,"0.0032744725","0.00329604620165858"
133,2019-02-18 12:10:27,"0.00262649088235294","0.00333280904068128"
134,2019-02-18 12:10:28,"0.00448691252941176","0.00345492852088541"
135,2019-02-18 12:10:29,"0.00398248670588235","0.00339829284487971"
136,2019-02-18 12:10:30,"0.00257562022222222","0.00318114006112096"
137,2019-02-18 12:10:31,"0.002156938875","0.00309141140097325"
138,2019-02-18 12:10:32,"0.00317160266666667","0.0032484764309013"
139,2019-02-18 12:10:33,"0.0047926165","0.00348830571455711"
140,2019-02-18 12:10:34,"0.00437789166666667","0.00345833584859785"
141,2019-02-18 12:10:35,"0.00299472727777778","0.0031654860654594"
142,2019-02-18 12:10:36,"0.0022130368125","0.0029201892521376"
143,2019-02-18 12:10:37,"0.002215666","0.00282910604940915"
144,2019-02-18 12:10:38,"0.00285626017647059","0.0028683975858629"
145,2019-02-18 12:10:39,"0.00293795029411765","0.00294564905913647"
146,2019-02-18 12:10:40,"0.00272304094736842","0.00303995445594389"
147,2019-02-18 12:10:41,"0.0030112095625","0.00317007851451141"
148,2019-02-18 12:10:42,"0.00360103778947368","0.00336204399482307"
149,2019-02-18 12:10:43,"0.004911208625","0.00347307032069558"
150,2019-02-18 12:10:44,"0.00308196238888889","0.00334047068271922"
151,2019-02-18 12:10:45,"0.00330359511764706","0.00318347309444998"
152,2019-02-18 12:10:46,"0.00265878111111111","0.00310371786517842"
153,2019-02-18 12:10:47,"0.0030129524","0.00310065453322747"
154,2019-02-18 12:10:48,"0.00431058075","0.00310375541180174"
155,2019-02-18 12:10:49,"0.00309458055555556","0.00299596444202253"
156,2019-02-18 12:10:50,"0.00258459382352941","0.00281674376470371"
157,2019-02-18 12:10:51,"0.00208491577777778","0.00275400991384597"
158,2019-02-18 12:10:52,"0.00239035241176471","0.00285142518135195"
159,2019-02-18 12:10:53,"0.00419672511111111","0.00304888252395469"
160,2019-02-18 12:10:54,"0.00366828827777778","0.00304908347901654"
161,2019-02-18 12:10:55,"0.00188288488888889","0.00284691402778453"
162,2019-02-18 12:10:56,"0.00214018017647059","0.00281454553469366"
163,2019-02-18 12:10:57,"0.00320473966666667","0.00298050809341798"
164,2019-02-18 12:10:58,"0.00380056211111111","0.00313512948840899"
