"HR","Timestamp"
67,2019-10-28 12:16:08
68.5,2019-10-28 12:16:09
70,2019-10-28 12:16:10
70.75,2019-10-28 12:16:11
71.8,2019-10-28 12:16:12
73,2019-10-28 12:16:13
75.14,2019-10-28 12:16:14
77.38,2019-10-28 12:16:15
78.78,2019-10-28 12:16:16
79.9,2019-10-28 12:16:17
80.82,2019-10-28 12:16:18
81.5,2019-10-28 12:16:19
82.54,2019-10-28 12:16:20
82.93,2019-10-28 12:16:21
83.6,2019-10-28 12:16:22
84.25,2019-10-28 12:16:23
84.35,2019-10-28 12:16:24
84.44,2019-10-28 12:16:25
84.58,2019-10-28 12:16:26
84.7,2019-10-28 12:16:27
84.71,2019-10-28 12:16:28
84.5,2019-10-28 12:16:29
84.09,2019-10-28 12:16:30
83.5,2019-10-28 12:16:31
83.4,2019-10-28 12:16:32
83.46,2019-10-28 12:16:33
83.56,2019-10-28 12:16:34
83.64,2019-10-28 12:16:35
83.72,2019-10-28 12:16:36
83.8,2019-10-28 12:16:37
83.97,2019-10-28 12:16:38
84.34,2019-10-28 12:16:39
84.85,2019-10-28 12:16:40
85.32,2019-10-28 12:16:41
85.74,2019-10-28 12:16:42
86.14,2019-10-28 12:16:43
86.46,2019-10-28 12:16:44
86.76,2019-10-28 12:16:45
87,2019-10-28 12:16:46
87.22,2019-10-28 12:16:47
87.44,2019-10-28 12:16:48
87.62,2019-10-28 12:16:49
87.81,2019-10-28 12:16:50
87.93,2019-10-28 12:16:51
88.04,2019-10-28 12:16:52
88.09,2019-10-28 12:16:53
88.17,2019-10-28 12:16:54
88.25,2019-10-28 12:16:55
88.33,2019-10-28 12:16:56
88.36,2019-10-28 12:16:57
88.43,2019-10-28 12:16:58
88.17,2019-10-28 12:16:59
88.51,2019-10-28 12:17:00
88.26,2019-10-28 12:17:01
88.64,2019-10-28 12:17:02
88.62,2019-10-28 12:17:03
88.96,2019-10-28 12:17:04
89.66,2019-10-28 12:17:05
90.58,2019-10-28 12:17:06
92.1,2019-10-28 12:17:07
94.23,2019-10-28 12:17:08
96.33,2019-10-28 12:17:09
98.37,2019-10-28 12:17:10
100.4,2019-10-28 12:17:11
102.38,2019-10-28 12:17:12
104.32,2019-10-28 12:17:13
106.17,2019-10-28 12:17:14
107.78,2019-10-28 12:17:15
109.43,2019-10-28 12:17:16
111.07,2019-10-28 12:17:17
112.68,2019-10-28 12:17:18
113.83,2019-10-28 12:17:19
115.07,2019-10-28 12:17:20
115.58,2019-10-28 12:17:21
116.02,2019-10-28 12:17:22
116.45,2019-10-28 12:17:23
117.02,2019-10-28 12:17:24
117.3,2019-10-28 12:17:25
117.55,2019-10-28 12:17:26
117.8,2019-10-28 12:17:27
118.08,2019-10-28 12:17:28
118.43,2019-10-28 12:17:29
118.85,2019-10-28 12:17:30
119.32,2019-10-28 12:17:31
120.1,2019-10-28 12:17:32
121.03,2019-10-28 12:17:33
121.78,2019-10-28 12:17:34
122.55,2019-10-28 12:17:35
123.28,2019-10-28 12:17:36
124,2019-10-28 12:17:37
124.68,2019-10-28 12:17:38
125.3,2019-10-28 12:17:39
125.83,2019-10-28 12:17:40
126.37,2019-10-28 12:17:41
126.95,2019-10-28 12:17:42
127.53,2019-10-28 12:17:43
128.15,2019-10-28 12:17:44
128.77,2019-10-28 12:17:45
129.33,2019-10-28 12:17:46
129.9,2019-10-28 12:17:47
130.45,2019-10-28 12:17:48
130.93,2019-10-28 12:17:49
131.28,2019-10-28 12:17:50
131.68,2019-10-28 12:17:51
132.07,2019-10-28 12:17:52
132.53,2019-10-28 12:17:53
132.97,2019-10-28 12:17:54
133.4,2019-10-28 12:17:55
133.78,2019-10-28 12:17:56
134.15,2019-10-28 12:17:57
134.48,2019-10-28 12:17:58
135.1,2019-10-28 12:17:59
135.2,2019-10-28 12:18:00
135.82,2019-10-28 12:18:01
135.77,2019-10-28 12:18:02
136.05,2019-10-28 12:18:03
135.92,2019-10-28 12:18:04
135.5,2019-10-28 12:18:05
134.85,2019-10-28 12:18:06
133.53,2019-10-28 12:18:07
131.98,2019-10-28 12:18:08
130.52,2019-10-28 12:18:09
129.08,2019-10-28 12:18:10
127.67,2019-10-28 12:18:11
126.23,2019-10-28 12:18:12
124.78,2019-10-28 12:18:13
123.27,2019-10-28 12:18:14
121.92,2019-10-28 12:18:15
120.57,2019-10-28 12:18:16
119.23,2019-10-28 12:18:17
117.9,2019-10-28 12:18:18
117.05,2019-10-28 12:18:19
115.88,2019-10-28 12:18:20
115.58,2019-10-28 12:18:21
115.3,2019-10-28 12:18:22
115,2019-10-28 12:18:23
114.7,2019-10-28 12:18:24
114.75,2019-10-28 12:18:25
114.93,2019-10-28 12:18:26
115.08,2019-10-28 12:18:27
115.22,2019-10-28 12:18:28
115.37,2019-10-28 12:18:29
115.53,2019-10-28 12:18:30
115.72,2019-10-28 12:18:31
115.38,2019-10-28 12:18:32
114.78,2019-10-28 12:18:33
114.35,2019-10-28 12:18:34
113.9,2019-10-28 12:18:35
113.48,2019-10-28 12:18:36
113.03,2019-10-28 12:18:37
112.55,2019-10-28 12:18:38
111.92,2019-10-28 12:18:39
111.3,2019-10-28 12:18:40
110.73,2019-10-28 12:18:41
110.17,2019-10-28 12:18:42
109.48,2019-10-28 12:18:43
108.82,2019-10-28 12:18:44
108.17,2019-10-28 12:18:45
107.58,2019-10-28 12:18:46
107.05,2019-10-28 12:18:47
106.52,2019-10-28 12:18:48
106.12,2019-10-28 12:18:49
105.83,2019-10-28 12:18:50
105.52,2019-10-28 12:18:51
105.22,2019-10-28 12:18:52
104.88,2019-10-28 12:18:53
104.52,2019-10-28 12:18:54
104.13,2019-10-28 12:18:55
103.77,2019-10-28 12:18:56
103.47,2019-10-28 12:18:57
103.18,2019-10-28 12:18:58
102.77,2019-10-28 12:18:59
102.37,2019-10-28 12:19:00
101.97,2019-10-28 12:19:01
101.67,2019-10-28 12:19:02
101.38,2019-10-28 12:19:03
101.18,2019-10-28 12:19:04
100.95,2019-10-28 12:19:05
100.7,2019-10-28 12:19:06
100.48,2019-10-28 12:19:07
100.33,2019-10-28 12:19:08
100.1,2019-10-28 12:19:09
99.87,2019-10-28 12:19:10
99.62,2019-10-28 12:19:11
99.37,2019-10-28 12:19:12
99.13,2019-10-28 12:19:13
98.85,2019-10-28 12:19:14
98.57,2019-10-28 12:19:15
98.25,2019-10-28 12:19:16
97.95,2019-10-28 12:19:17
97.62,2019-10-28 12:19:18
97.22,2019-10-28 12:19:19
96.93,2019-10-28 12:19:20
96.63,2019-10-28 12:19:21
96.28,2019-10-28 12:19:22
95.92,2019-10-28 12:19:23
95.47,2019-10-28 12:19:24
94.97,2019-10-28 12:19:25
94.35,2019-10-28 12:19:26
93.77,2019-10-28 12:19:27
93.2,2019-10-28 12:19:28
92.6,2019-10-28 12:19:29
91.97,2019-10-28 12:19:30
91.38,2019-10-28 12:19:31
90.8,2019-10-28 12:19:32
90.28,2019-10-28 12:19:33
89.75,2019-10-28 12:19:34
89.2,2019-10-28 12:19:35
88.63,2019-10-28 12:19:36
88.12,2019-10-28 12:19:37
87.63,2019-10-28 12:19:38
87.28,2019-10-28 12:19:39
86.93,2019-10-28 12:19:40
86.57,2019-10-28 12:19:41
86.17,2019-10-28 12:19:42
