"HR","Timestamp"
74,2019-08-06 12:24:37
74,2019-08-06 12:24:38
104.67,2019-08-06 12:24:39
93.75,2019-08-06 12:24:40
91.6,2019-08-06 12:24:41
98,2019-08-06 12:24:42
102.57,2019-08-06 12:24:43
105.25,2019-08-06 12:24:44
107.56,2019-08-06 12:24:45
109.7,2019-08-06 12:24:46
111.64,2019-08-06 12:24:47
113.17,2019-08-06 12:24:48
114.46,2019-08-06 12:24:49
115.57,2019-08-06 12:24:50
116.33,2019-08-06 12:24:51
116.44,2019-08-06 12:24:52
116.59,2019-08-06 12:24:53
116.89,2019-08-06 12:24:54
117.05,2019-08-06 12:24:55
117.35,2019-08-06 12:24:56
117.67,2019-08-06 12:24:57
117.91,2019-08-06 12:24:58
118.39,2019-08-06 12:24:59
118.83,2019-08-06 12:25:00
119.24,2019-08-06 12:25:01
119.62,2019-08-06 12:25:02
119.85,2019-08-06 12:25:03
120.11,2019-08-06 12:25:04
120.34,2019-08-06 12:25:05
120.57,2019-08-06 12:25:06
120.77,2019-08-06 12:25:07
120.97,2019-08-06 12:25:08
121.12,2019-08-06 12:25:09
121.24,2019-08-06 12:25:10
121.31,2019-08-06 12:25:11
121.39,2019-08-06 12:25:12
121.38,2019-08-06 12:25:13
121.34,2019-08-06 12:25:14
121.26,2019-08-06 12:25:15
121.1,2019-08-06 12:25:16
120.98,2019-08-06 12:25:17
120.9,2019-08-06 12:25:18
120.81,2019-08-06 12:25:19
120.5,2019-08-06 12:25:20
120.16,2019-08-06 12:25:21
119.87,2019-08-06 12:25:22
119.62,2019-08-06 12:25:23
119.35,2019-08-06 12:25:24
119.12,2019-08-06 12:25:25
118.88,2019-08-06 12:25:26
118.67,2019-08-06 12:25:27
118.38,2019-08-06 12:25:28
118.13,2019-08-06 12:25:29
117.93,2019-08-06 12:25:30
117.73,2019-08-06 12:25:31
117.34,2019-08-06 12:25:32
116.96,2019-08-06 12:25:33
116.6,2019-08-06 12:25:34
116.24,2019-08-06 12:25:35
115.9,2019-08-06 12:25:36
116.22,2019-08-06 12:25:37
116.57,2019-08-06 12:25:38
115.37,2019-08-06 12:25:39
115.87,2019-08-06 12:25:40
115.98,2019-08-06 12:25:41
115.32,2019-08-06 12:25:42
114.65,2019-08-06 12:25:43
114.08,2019-08-06 12:25:44
113.32,2019-08-06 12:25:45
112.57,2019-08-06 12:25:46
111.77,2019-08-06 12:25:47
111.03,2019-08-06 12:25:48
110.32,2019-08-06 12:25:49
109.62,2019-08-06 12:25:50
108.97,2019-08-06 12:25:51
108.5,2019-08-06 12:25:52
108.03,2019-08-06 12:25:53
107.5,2019-08-06 12:25:54
106.97,2019-08-06 12:25:55
106.33,2019-08-06 12:25:56
105.63,2019-08-06 12:25:57
104.93,2019-08-06 12:25:58
104.12,2019-08-06 12:25:59
103.3,2019-08-06 12:26:00
102.38,2019-08-06 12:26:01
101.48,2019-08-06 12:26:02
100.63,2019-08-06 12:26:03
99.73,2019-08-06 12:26:04
98.82,2019-08-06 12:26:05
97.88,2019-08-06 12:26:06
96.95,2019-08-06 12:26:07
95.98,2019-08-06 12:26:08
95.03,2019-08-06 12:26:09
94.08,2019-08-06 12:26:10
93.17,2019-08-06 12:26:11
92.25,2019-08-06 12:26:12
91.42,2019-08-06 12:26:13
90.6,2019-08-06 12:26:14
89.83,2019-08-06 12:26:15
89.17,2019-08-06 12:26:16
88.48,2019-08-06 12:26:17
87.8,2019-08-06 12:26:18
87.12,2019-08-06 12:26:19
86.63,2019-08-06 12:26:20
86.2,2019-08-06 12:26:21
85.77,2019-08-06 12:26:22
85.33,2019-08-06 12:26:23
84.92,2019-08-06 12:26:24
84.48,2019-08-06 12:26:25
84.07,2019-08-06 12:26:26
