"HR","Timestamp"
109,2019-05-25 10:02:36
103.5,2019-05-25 10:02:37
100.33,2019-05-25 10:02:38
99.25,2019-05-25 10:02:39
98.6,2019-05-25 10:02:40
96.83,2019-05-25 10:02:41
95,2019-05-25 10:02:42
93.5,2019-05-25 10:02:43
92.89,2019-05-25 10:02:44
92.7,2019-05-25 10:02:45
92.45,2019-05-25 10:02:46
92.17,2019-05-25 10:02:47
91.92,2019-05-25 10:02:48
91.71,2019-05-25 10:02:49
91.53,2019-05-25 10:02:50
90.81,2019-05-25 10:02:51
90.35,2019-05-25 10:02:52
89.67,2019-05-25 10:02:53
88.95,2019-05-25 10:02:54
88.25,2019-05-25 10:02:55
87.71,2019-05-25 10:02:56
87.23,2019-05-25 10:02:57
86.83,2019-05-25 10:02:58
86.42,2019-05-25 10:02:59
86.12,2019-05-25 10:03:00
85.81,2019-05-25 10:03:01
85.48,2019-05-25 10:03:02
85.25,2019-05-25 10:03:03
84.93,2019-05-25 10:03:04
84.63,2019-05-25 10:03:05
84.26,2019-05-25 10:03:06
83.91,2019-05-25 10:03:07
83.61,2019-05-25 10:03:08
83.26,2019-05-25 10:03:09
82.86,2019-05-25 10:03:10
82.47,2019-05-25 10:03:11
82.3,2019-05-25 10:03:12
82.11,2019-05-25 10:03:13
81.92,2019-05-25 10:03:14
81.57,2019-05-25 10:03:15
81.27,2019-05-25 10:03:16
80.95,2019-05-25 10:03:17
80.63,2019-05-25 10:03:18
80.32,2019-05-25 10:03:19
79.89,2019-05-25 10:03:20
79.46,2019-05-25 10:03:21
79.04,2019-05-25 10:03:22
78.65,2019-05-25 10:03:23
78.27,2019-05-25 10:03:24
77.86,2019-05-25 10:03:25
77.49,2019-05-25 10:03:26
77.13,2019-05-25 10:03:27
76.89,2019-05-25 10:03:28
76.81,2019-05-25 10:03:29
76.76,2019-05-25 10:03:30
76.73,2019-05-25 10:03:31
76.67,2019-05-25 10:03:32
76.55,2019-05-25 10:03:33
76.49,2019-05-25 10:03:34
76.45,2019-05-25 10:03:35
75.85,2019-05-25 10:03:36
75.43,2019-05-25 10:03:37
75.1,2019-05-25 10:03:38
74.73,2019-05-25 10:03:39
74.38,2019-05-25 10:03:40
74.15,2019-05-25 10:03:41
73.93,2019-05-25 10:03:42
73.72,2019-05-25 10:03:43
73.43,2019-05-25 10:03:44
73.1,2019-05-25 10:03:45
72.78,2019-05-25 10:03:46
72.53,2019-05-25 10:03:47
72.3,2019-05-25 10:03:48
72.1,2019-05-25 10:03:49
71.9,2019-05-25 10:03:50
71.87,2019-05-25 10:03:51
71.78,2019-05-25 10:03:52
71.78,2019-05-25 10:03:53
71.82,2019-05-25 10:03:54
71.8,2019-05-25 10:03:55
71.73,2019-05-25 10:03:56
71.68,2019-05-25 10:03:57
71.62,2019-05-25 10:03:58
71.58,2019-05-25 10:03:59
71.55,2019-05-25 10:04:00
71.55,2019-05-25 10:04:01
71.57,2019-05-25 10:04:02
71.55,2019-05-25 10:04:03
71.53,2019-05-25 10:04:04
71.53,2019-05-25 10:04:05
71.48,2019-05-25 10:04:06
71.43,2019-05-25 10:04:07
71.37,2019-05-25 10:04:08
71.28,2019-05-25 10:04:09
71.28,2019-05-25 10:04:10
71.23,2019-05-25 10:04:11
71.47,2019-05-25 10:04:12
71.72,2019-05-25 10:04:13
71.97,2019-05-25 10:04:14
72.32,2019-05-25 10:04:15
72.75,2019-05-25 10:04:16
73.2,2019-05-25 10:04:17
73.68,2019-05-25 10:04:18
74.28,2019-05-25 10:04:19
75.13,2019-05-25 10:04:20
76.02,2019-05-25 10:04:21
76.93,2019-05-25 10:04:22
77.02,2019-05-25 10:04:23
77.13,2019-05-25 10:04:24
77.27,2019-05-25 10:04:25
77.38,2019-05-25 10:04:26
77.5,2019-05-25 10:04:27
77.53,2019-05-25 10:04:28
