"Time","Timestamp","Perspiration","NR_Perspiration"
0,2019-02-15 12:06:36,0.0045028907,0.00354091189096319
1,2019-02-15 12:06:37,0.00307479507692308,0.00350600774963989
2,2019-02-15 12:06:38,0.0028176748125,0.00348564203362233
3,2019-02-15 12:06:39,0.00352817046666667,0.00355235207408577
4,2019-02-15 12:06:40,0.00340122394444444,0.00370383254095147
5,2019-02-15 12:06:41,0.0038633479,0.00396216327169499
6,2019-02-15 12:06:42,0.005381406,0.00419338969342906
7,2019-02-15 12:06:43,0.00423658581818182,0.00410447568440489
8,2019-02-15 12:06:44,0.00362222645,0.00390599036372763
9,2019-02-15 12:06:45,0.0032593272,0.00395176661718938
10,2019-02-15 12:06:46,0.00475495884210526,0.00418665674283071
11,2019-02-15 12:06:47,0.00457374773684211,0.00430862128870454
12,2019-02-15 12:06:48,0.00439688185,0.00434184552596916
13,2019-02-15 12:06:49,0.00444469210526316,0.00438297854524681
14,2019-02-15 12:06:50,0.00511852536842105,0.0044462604324442
15,2019-02-15 12:06:51,0.00454923025,0.00449303041120472
16,2019-02-15 12:06:52,0.00492856555555556,0.00447264578026269
17,2019-02-15 12:06:53,0.00456553125,0.00443213375478122
18,2019-02-15 12:06:54,0.00506237411111111,0.00434552916378906
19,2019-02-15 12:06:55,0.00326866310526316,0.00418079078012782
20,2019-02-15 12:06:56,0.0041623881,0.00418096963907909
21,2019-02-15 12:06:57,0.00500665947368421,0.00417730488376006
22,2019-02-15 12:06:58,0.00325058557894737,0.00401794096617061
23,2019-02-15 12:06:59,0.00392120465,0.00398451307811803
24,2019-02-15 12:07:00,0.00412218184210526,0.00399818723617132
25,2019-02-15 12:07:01,0.00372594842105263,0.00397666805036642
26,2019-02-15 12:07:02,0.00430471566666667,0.00399734696680396
27,2019-02-15 12:07:03,0.00389991178947368,0.0039789453989391
28,2019-02-15 12:07:04,0.00374810783333333,0.00393449025784838
29,2019-02-15 12:07:05,0.00370310344444444,0.00391733478788981
30,2019-02-15 12:07:06,0.00328710963157895,0.00396024444509589
31,2019-02-15 12:07:07,0.00409804721052632,0.00412094096007102
32,2019-02-15 12:07:08,0.00395306084210526,0.00437807512904479
33,2019-02-15 12:07:09,0.00582029505263158,0.00469498749933098
34,2019-02-15 12:07:10,0.005215863,0.00481425072377155
35,2019-02-15 12:07:11,0.00441806738888889,0.00484691864279433
36,2019-02-15 12:07:12,0.00592493427777778,0.00492413827129519
37,2019-02-15 12:07:13,0.00531370433333333,0.00488208639186796
38,2019-02-15 12:07:14,0.00428926036842105,0.00475376039283009
39,2019-02-15 12:07:15,0.00526119573333333,0.00470050960194708
40,2019-02-15 12:07:16,0.0050645597,0.00466277493755406
41,2019-02-15 12:07:17,0.0044707374375,0.0045412274930514
42,2019-02-15 12:07:18,0.0045450831,0.00431037308452265
43,2019-02-15 12:07:19,0.00390410315,0.00401453014485258
44,2019-02-15 12:07:20,0.00314417989473684,0.00384044082723609
45,2019-02-15 12:07:21,0.00415397110526316,0.00374242330384717
46,2019-02-15 12:07:22,0.00285829678947368,0.00358099650440868
47,2019-02-15 12:07:23,0.0029190051,0.0035234188380863
48,2019-02-15 12:07:24,0.00325094336842105,0.00360016362779286
49,2019-02-15 12:07:25,0.00342057217647059,0.00374506651904531
50,2019-02-15 12:07:26,0.00347112475,0.00401579913994153
51,2019-02-15 12:07:27,0.00445335647368421,0.00437133361050227
52,2019-02-15 12:07:28,0.00406544752631579,0.00477539402117366
53,2019-02-15 12:07:29,0.00619117489473684,0.00546430520958898
54,2019-02-15 12:07:30,0.0122823387777778,0.006177674190624
55,2019-02-15 12:07:31,0.00834820005263158,0.00655977272480844
56,2019-02-15 12:07:32,0.01077345065,0.0064274954899575
57,2019-02-15 12:07:33,0.00459306883733333,0.00531765530834795
58,2019-02-15 12:07:34,0.000430793006875,0.00401273315919875
59,2019-02-15 12:07:35,0.00114768925789474,0.00330353083948444
60,2019-02-15 12:07:36,0.0028271574,0.00324980681966123
61,2019-02-15 12:07:37,0.003426779,0.00329394254311264
62,2019-02-15 12:07:38,0.00294831545,0.00325813859556253
63,2019-02-15 12:07:39,0.00269046636842105,0.00323042583868428
64,2019-02-15 12:07:40,0.00327585326315789,0.00326971492550593
65,2019-02-15 12:07:41,0.0032922967,0.00330318278961368
66,2019-02-15 12:07:42,0.00274409873684211,0.00329347505733608
67,2019-02-15 12:07:43,0.0031878265,0.00335258372516396
68,2019-02-15 12:07:44,0.00301697935,0.00350136450791695
69,2019-02-15 12:07:45,0.00379196047368421,0.0036962733501273
70,2019-02-15 12:07:46,0.0040232679,0.00383682120391036
71,2019-02-15 12:07:47,0.00455549133333333,0.00389542520721633
72,2019-02-15 12:07:48,0.0036124934,0.00388866957140455
73,2019-02-15 12:07:49,0.00427049084210526,0.00387007500631059
74,2019-02-15 12:07:50,0.00337975955555556,0.003834254763101
75,2019-02-15 12:07:51,0.00422433768421053,0.00381313150898003
76,2019-02-15 12:07:52,0.00306209766666667,0.00373197475874557
77,2019-02-15 12:07:53,0.00323562846666667,0.00370568724783998
78,2019-02-15 12:07:54,0.00304885907142857,0.00380074549589398
79,2019-02-15 12:07:55,0.00415382057142857,0.00395006464005062
80,2019-02-15 12:07:56,0.00356549407142857,0.00409314500668633
81,2019-02-15 12:07:57,0.0031183979375,0.00434055360972552
82,2019-02-15 12:07:58,0.00461143993333333,0.0048337239939306
83,2019-02-15 12:07:59,0.00687879523529412,0.0054638458499785
84,2019-02-15 12:08:00,0.00750240205882353,0.00592615868793975
