"EDA","Timestamp"
0.06080475,2019-02-18 12:04:22
0.091527,2019-02-18 12:04:23
0.091207,2019-02-18 12:04:24
0.09504725,2019-02-18 12:04:25
0.088007,2019-02-18 12:04:26
0.090247,2019-02-18 12:04:27
0.089287,2019-02-18 12:04:28
0.089607,2019-02-18 12:04:29
0.090887,2019-02-18 12:04:30
0.090567,2019-02-18 12:04:31
0.089607,2019-02-18 12:04:32
0.091207,2019-02-18 12:04:33
0.08864675,2019-02-18 12:04:34
0.0979275,2019-02-18 12:04:35
0.100488,2019-02-18 12:04:36
0.099208,2019-02-18 12:04:37
0.101768,2019-02-18 12:04:38
0.09920775,2019-02-18 12:04:39
0.10112775,2019-02-18 12:04:40
0.104328,2019-02-18 12:04:41
0.100488,2019-02-18 12:04:42
0.101448,2019-02-18 12:04:43
0.106248,2019-02-18 12:04:44
0.104328,2019-02-18 12:04:45
0.108488,2019-02-18 12:04:46
0.10880825,2019-02-18 12:04:47
0.03616275,2019-02-18 12:04:48
0.054724,2019-02-18 12:04:49
0.12576975,2019-02-18 12:04:50
0.13377,2019-02-18 12:04:51
0.12801,2019-02-18 12:04:52
0.13281,2019-02-18 12:04:53
0.13569025,2019-02-18 12:04:54
0.13825075,2019-02-18 12:04:55
0.138891,2019-02-18 12:04:56
0.139851,2019-02-18 12:04:57
0.144331,2019-02-18 12:04:58
0.146251,2019-02-18 12:04:59
0.142731,2019-02-18 12:05:00
0.144011,2019-02-18 12:05:01
0.14881125,2019-02-18 12:05:02
0.1507315,2019-02-18 12:05:03
0.14881125,2019-02-18 12:05:04
0.1497715,2019-02-18 12:05:05
0.15169175,2019-02-18 12:05:06
0.154252,2019-02-18 12:05:07
0.147531,2019-02-18 12:05:08
0.144011,2019-02-18 12:05:09
0.13793075,2019-02-18 12:05:10
0.0697655,2019-02-18 12:05:11
0.00128,2019-02-18 12:05:12
0.00064,2019-02-18 12:05:13
0.0848065,2019-02-18 12:05:14
0.09280675,2019-02-18 12:05:15
0.1075285,2019-02-18 12:05:16
0.1120085,2019-02-18 12:05:17
0.094087,2019-02-18 12:05:18
0.09472725,2019-02-18 12:05:19
0.12288925,2019-02-18 12:05:20
0.1126485,2019-02-18 12:05:21
0.1100885,2019-02-18 12:05:22
0.11712875,2019-02-18 12:05:23
0.068485,2019-02-18 12:05:24
0.096007,2019-02-18 12:05:25
0.0976075,2019-02-18 12:05:26
0.049924,2019-02-18 12:05:27
0.01824125,2019-02-18 12:05:28
0.0707255,2019-02-18 12:05:29
0.06400475,2019-02-18 12:05:30
0.00032,2019-02-18 12:05:31
0.0585645,2019-02-18 12:05:32
0.108488,2019-02-18 12:05:33
0.116169,2019-02-18 12:05:34
0.116169,2019-02-18 12:05:35
