"HR","Timestamp"
52,2019-10-08 09:02:55
67.5,2019-10-08 09:02:56
103,2019-10-08 09:02:57
93.25,2019-10-08 09:02:58
91.2,2019-10-08 09:02:59
89.83,2019-10-08 09:03:00
88.29,2019-10-08 09:03:01
87.5,2019-10-08 09:03:02
86.56,2019-10-08 09:03:03
85.7,2019-10-08 09:03:04
85.09,2019-10-08 09:03:05
84.58,2019-10-08 09:03:06
84.15,2019-10-08 09:03:07
83.5,2019-10-08 09:03:08
82.93,2019-10-08 09:03:09
83.19,2019-10-08 09:03:10
83.24,2019-10-08 09:03:11
83.22,2019-10-08 09:03:12
83.21,2019-10-08 09:03:13
83.3,2019-10-08 09:03:14
83.33,2019-10-08 09:03:15
83.23,2019-10-08 09:03:16
83.09,2019-10-08 09:03:17
82.71,2019-10-08 09:03:18
82.28,2019-10-08 09:03:19
81.88,2019-10-08 09:03:20
81.56,2019-10-08 09:03:21
81.25,2019-10-08 09:03:22
80.97,2019-10-08 09:03:23
80.67,2019-10-08 09:03:24
80.35,2019-10-08 09:03:25
80.09,2019-10-08 09:03:26
79.91,2019-10-08 09:03:27
79.74,2019-10-08 09:03:28
79.66,2019-10-08 09:03:29
79.47,2019-10-08 09:03:30
79.27,2019-10-08 09:03:31
79.13,2019-10-08 09:03:32
78.79,2019-10-08 09:03:33
78.5,2019-10-08 09:03:34
78.22,2019-10-08 09:03:35
77.95,2019-10-08 09:03:36
77.67,2019-10-08 09:03:37
77.68,2019-10-08 09:03:38
77.71,2019-10-08 09:03:39
77.74,2019-10-08 09:03:40
77.72,2019-10-08 09:03:41
77.81,2019-10-08 09:03:42
77.84,2019-10-08 09:03:43
77.9,2019-10-08 09:03:44
77.98,2019-10-08 09:03:45
78.06,2019-10-08 09:03:46
78.11,2019-10-08 09:03:47
78.17,2019-10-08 09:03:48
78.24,2019-10-08 09:03:49
78.36,2019-10-08 09:03:50
78.44,2019-10-08 09:03:51
78.53,2019-10-08 09:03:52
78.63,2019-10-08 09:03:53
78.72,2019-10-08 09:03:54
79.25,2019-10-08 09:03:55
79.3,2019-10-08 09:03:56
77.83,2019-10-08 09:03:57
78.18,2019-10-08 09:03:58
78.22,2019-10-08 09:03:59
78.27,2019-10-08 09:04:00
78.4,2019-10-08 09:04:01
78.52,2019-10-08 09:04:02
78.68,2019-10-08 09:04:03
78.85,2019-10-08 09:04:04
79.02,2019-10-08 09:04:05
79.2,2019-10-08 09:04:06
79.42,2019-10-08 09:04:07
79.72,2019-10-08 09:04:08
80.03,2019-10-08 09:04:09
80.13,2019-10-08 09:04:10
80.3,2019-10-08 09:04:11
80.53,2019-10-08 09:04:12
80.77,2019-10-08 09:04:13
80.97,2019-10-08 09:04:14
81.18,2019-10-08 09:04:15
81.45,2019-10-08 09:04:16
81.7,2019-10-08 09:04:17
82.05,2019-10-08 09:04:18
82.38,2019-10-08 09:04:19
82.72,2019-10-08 09:04:20
83.07,2019-10-08 09:04:21
83.4,2019-10-08 09:04:22
83.77,2019-10-08 09:04:23
83.62,2019-10-08 09:04:24
83.48,2019-10-08 09:04:25
83.33,2019-10-08 09:04:26
83.15,2019-10-08 09:04:27
82.97,2019-10-08 09:04:28
82.73,2019-10-08 09:04:29
82.57,2019-10-08 09:04:30
82.4,2019-10-08 09:04:31
82.18,2019-10-08 09:04:32
82.1,2019-10-08 09:04:33
81.98,2019-10-08 09:04:34
81.87,2019-10-08 09:04:35
81.72,2019-10-08 09:04:36
81.57,2019-10-08 09:04:37
81.2,2019-10-08 09:04:38
80.8,2019-10-08 09:04:39
80.43,2019-10-08 09:04:40
80.1,2019-10-08 09:04:41
79.7,2019-10-08 09:04:42
79.35,2019-10-08 09:04:43
78.98,2019-10-08 09:04:44
78.62,2019-10-08 09:04:45
78.27,2019-10-08 09:04:46
78,2019-10-08 09:04:47
77.72,2019-10-08 09:04:48
77.45,2019-10-08 09:04:49
77.13,2019-10-08 09:04:50
76.87,2019-10-08 09:04:51
76.62,2019-10-08 09:04:52
76.38,2019-10-08 09:04:53
76.17,2019-10-08 09:04:54
75.93,2019-10-08 09:04:55
75.65,2019-10-08 09:04:56
75.22,2019-10-08 09:04:57
74.8,2019-10-08 09:04:58
74.38,2019-10-08 09:04:59
73.95,2019-10-08 09:05:00
73.53,2019-10-08 09:05:01
73.1,2019-10-08 09:05:02
72.67,2019-10-08 09:05:03
72.25,2019-10-08 09:05:04
71.82,2019-10-08 09:05:05
71.37,2019-10-08 09:05:06
70.88,2019-10-08 09:05:07
70.38,2019-10-08 09:05:08
69.88,2019-10-08 09:05:09
69.38,2019-10-08 09:05:10
68.88,2019-10-08 09:05:11
68.33,2019-10-08 09:05:12
67.85,2019-10-08 09:05:13
67.37,2019-10-08 09:05:14
66.88,2019-10-08 09:05:15
66.42,2019-10-08 09:05:16
65.98,2019-10-08 09:05:17
65.55,2019-10-08 09:05:18
65.18,2019-10-08 09:05:19
64.82,2019-10-08 09:05:20
64.42,2019-10-08 09:05:21
64.03,2019-10-08 09:05:22
63.67,2019-10-08 09:05:23
63.8,2019-10-08 09:05:24
63.92,2019-10-08 09:05:25
64.02,2019-10-08 09:05:26
64.1,2019-10-08 09:05:27
64.17,2019-10-08 09:05:28
64.22,2019-10-08 09:05:29
64.27,2019-10-08 09:05:30
64.33,2019-10-08 09:05:31
64.43,2019-10-08 09:05:32
64.53,2019-10-08 09:05:33
64.67,2019-10-08 09:05:34
64.82,2019-10-08 09:05:35
65.02,2019-10-08 09:05:36
65.23,2019-10-08 09:05:37
65.5,2019-10-08 09:05:38
65.78,2019-10-08 09:05:39
66.05,2019-10-08 09:05:40
66.32,2019-10-08 09:05:41
66.6,2019-10-08 09:05:42
66.92,2019-10-08 09:05:43
67.23,2019-10-08 09:05:44
67.55,2019-10-08 09:05:45
67.88,2019-10-08 09:05:46
68.15,2019-10-08 09:05:47
68.47,2019-10-08 09:05:48
68.77,2019-10-08 09:05:49
69.07,2019-10-08 09:05:50
69.33,2019-10-08 09:05:51
69.5,2019-10-08 09:05:52
69.6,2019-10-08 09:05:53
69.65,2019-10-08 09:05:54
69.68,2019-10-08 09:05:55
69.72,2019-10-08 09:05:56
69.88,2019-10-08 09:05:57
70.02,2019-10-08 09:05:58
70.13,2019-10-08 09:05:59
70.22,2019-10-08 09:06:00
70.27,2019-10-08 09:06:01
70.3,2019-10-08 09:06:02
70.33,2019-10-08 09:06:03
70.37,2019-10-08 09:06:04
70.42,2019-10-08 09:06:05
70.47,2019-10-08 09:06:06
70.55,2019-10-08 09:06:07
70.63,2019-10-08 09:06:08
70.68,2019-10-08 09:06:09
70.73,2019-10-08 09:06:10
70.75,2019-10-08 09:06:11
70.75,2019-10-08 09:06:12
70.72,2019-10-08 09:06:13
70.68,2019-10-08 09:06:14
70.63,2019-10-08 09:06:15
70.53,2019-10-08 09:06:16
70.43,2019-10-08 09:06:17
70.33,2019-10-08 09:06:18
70.22,2019-10-08 09:06:19
70.12,2019-10-08 09:06:20
70.03,2019-10-08 09:06:21
69.95,2019-10-08 09:06:22
69.82,2019-10-08 09:06:23
69.72,2019-10-08 09:06:24
69.63,2019-10-08 09:06:25
69.58,2019-10-08 09:06:26
69.55,2019-10-08 09:06:27
69.55,2019-10-08 09:06:28
69.57,2019-10-08 09:06:29
69.58,2019-10-08 09:06:30
69.6,2019-10-08 09:06:31
69.6,2019-10-08 09:06:32
69.6,2019-10-08 09:06:33
69.6,2019-10-08 09:06:34
69.58,2019-10-08 09:06:35
69.53,2019-10-08 09:06:36
69.45,2019-10-08 09:06:37
69.3,2019-10-08 09:06:38
69.15,2019-10-08 09:06:39
69,2019-10-08 09:06:40
68.85,2019-10-08 09:06:41
68.68,2019-10-08 09:06:42
68.48,2019-10-08 09:06:43
68.25,2019-10-08 09:06:44
68,2019-10-08 09:06:45
67.73,2019-10-08 09:06:46
67.47,2019-10-08 09:06:47
67.2,2019-10-08 09:06:48
66.92,2019-10-08 09:06:49
66.62,2019-10-08 09:06:50
66.32,2019-10-08 09:06:51
66.07,2019-10-08 09:06:52
65.87,2019-10-08 09:06:53
65.7,2019-10-08 09:06:54
65.57,2019-10-08 09:06:55
65.45,2019-10-08 09:06:56
65.35,2019-10-08 09:06:57
65.28,2019-10-08 09:06:58
65.23,2019-10-08 09:06:59
65.22,2019-10-08 09:07:00
65.2,2019-10-08 09:07:01
65.18,2019-10-08 09:07:02
65.17,2019-10-08 09:07:03
65.15,2019-10-08 09:07:04
65.12,2019-10-08 09:07:05
65.08,2019-10-08 09:07:06
65.03,2019-10-08 09:07:07
64.98,2019-10-08 09:07:08
64.95,2019-10-08 09:07:09
64.95,2019-10-08 09:07:10
64.97,2019-10-08 09:07:11
65,2019-10-08 09:07:12
