Session,StartTime,startTimestamp,EndTime,EndTimestamp,Ontologies
Session 1,7.439112,Tue May 21 11:57:58.431 2019,12784.67,Tue May 21 11:59:45.667 2019,SP - Looking 
Session 2,8.439112,Tue May 21 12:45:20.431 2019,12785.67,Tue May 21 12:52:55.667 2020,Break Out - Other
Session 3,9.439112,Tue May 21 12:52:55.431 2019,12786.67,Tue May 21 12:54:50.667 2019,SP - Looking 
Session 4,10.439112,Tue May 21 13:04:20.431 2019,12787.67,Tue May 21 13:06:40.667 2019,SP - Looking 
Session 5,11.439112,Tue May 21 14:14:03.431 2019,12788.67,Tue May 21 14:15:30.667 2019,SP - Looking 
