Session,StartTime,startTimestamp,EndTime,EndTimestamp,Ontologies
Session 1,7.311442,Fri Jun 14 09:46:50.391 2019,13236.91,Fri Jun 14 09:49:37.391 2019,C - Writing/Reading
Session 2,7.311442,Fri Jun 14 09:49:38.391 2019,13236.91,Fri Jun 14 10:00:30.391 2019,"C - Reading, Listening on Headphone"
Session 3,7.311442,Fri Jun 14 10:02:30.391 2019,13236.91,Fri Jun 14 10:09:50.391 2019,"C - Reading, Listening on Headphone"
Session 4,7.311442,Fri Jun 14 10:09:50.391 2019,13236.91,Fri Jun 14 10:16:10.391 2019,Break Out - Other
Session 5,7.311442,Fri Jun 14 10:17:20.391 2019,13236.91,Fri Jun 14 10:20:30.391 2019,SP - Looking
Session 6,7.311442,Fri Jun 14 10:20:50.391 2019,13236.91,Fri Jun 14 10:22:20.391 2019,C - Reading 
Session 7,7.311442,Fri Jun 14 10:22:40.391 2019,13236.91,Fri Jun 14 11:28:10.391 2019,"C - Reading, Listening on Headphone"
Session 8,7.311442,Fri Jun 14 11:28:11.391 2019,13236.91,Fri Jun 14 11:29:25.391 2019,C - Reading
Session 9,7.311442,Fri Jun 14 11:29:40.391 2019,13236.91,Fri Jun 14 11:41:56.391 2019,C - Writing/Reading
Session 10,7.311442,Fri Jun 14 11:41:57.391 2019,13236.91,Fri Jun 14 11:42:24.391 2019,SP - Looking
Session 11,7.311442,Fri Jun 14 11:42:25.391 2019,13236.91,Fri Jun 14 11:49:26.391 2019,C - Reading
Session 12,7.311442,Fri Jun 14 11:49:28.391 2019,13236.91,Fri Jun 14 11:55:08.391 2019,Break Out - Other
Session 13,7.311442,Fri Jun 14 11:55:10.391 2019,13236.91,Fri Jun 14 12:08:10.391 2019,C - Reading
Session 14,7.311442,Fri Jun 14 12:09:20.391 2019,13236.91,Fri Jun 14 12:44:30.391 2019,"HC - Reading, Listening on Headphone"
Session 15,7.311442,Fri Jun 14 12:47:05.391 2019,13236.91,Fri Jun 14 12:50:10.391 2019,Break In - Meal
Session 16,7.311442,Fri Jun 14 12:50:10.391 2019,13236.91,Fri Jun 14 12:59:10.391 2019,"Break In - Meal, Listening on Headphone, C - Reading  "
Session 17,7.311442,Fri Jun 14 12:59:11.391 2019,13236.91,Fri Jun 14 13:35:00.391 2019,C - Writing/Reading
Session 17,7.311442,Fri Jun 14 13:35:01.391 2019,13236.91,Fri Jun 14 13:41:25.391 2019,C - Reading 
