Session,StartTime,startTimestamp,EndTime,EndTimestamp,Ontologies
Session 1,2.373656,Fri May 31 13:28:10.802 2019,13907.29,Fri May 31 13:30:30.723 2019,C - Reading 
Session 2,2.373656,Fri May 31 13:30:31.802 2019,13907.29,Fri May 31 13:35:10.723 2019,"C - Reading, HC - Writing"
Session 4,2.373656,Fri May 31 13:35:11.802 2019,13907.29,Fri May 31 13:48:15.723 2019,SP - Looking 
Session 5,2.373656,Fri May 31 13:48:16.802 2019,13907.29,Fri May 31 14:21:53.723 2019,C - Reading
Session 6,2.373656,Fri May 31 14:21:54.802 2019,13907.29,Fri May 31 14:25:24.802 2019,SP - Looking 
Session 7,2.373656,Fri May 31 14:25:25.802 2019,13907.29,Fri May 31 14:36:19.723 2019,C - Reading
Session 8,2.373656,Fri May 31 14:36:20.802 2019,13907.29,Fri May 31 14:59:00.723 2019,Break Out - Other
Session 9,2.373656,Fri May 31 14:59:01.802 2019,13907.29,Fri May 31 15:25:35.723 2019,C - Reading
Session 10,2.373656,Fri May 31 15:25:36.802 2019,13907.29,Fri May 31 15:31:10.723 2019,SP - Looking 
Session 11,2.373656,Fri May 31 15:31:11.802 2019,13907.29,Fri May 31 15:51:29.723 2019,C - Reading
Session 12,2.373656,Fri May 31 15:51:30.802 2019,13907.29,Fri May 31 16:01:25.723 2019,"C - Reading, HC - Writing"
Session 13,2.373656,Fri May 31 16:01:26.802 2019,13907.29,Fri May 31 16:03:31.723 2019,"C - Reading, HC - Reading"
Session 14,2.373656,Fri May 31 16:03:32.802 2019,13907.29,Fri May 31 16:11:30.723 2019,C - Reading
Session 15,2.373656,Fri May 31 16:11:31.802 2019,13907.29,Fri May 31 16:13:25.723 2019,SP - Talking
Session 16,2.373656,Fri May 31 16:13:26.802 2019,13907.29,Fri May 31 16:18:45.723 2019,C - Reading
Session 17,2.373656,Fri May 31 16:18:46.802 2019,13907.29,Fri May 31 16:23:34.723 2019,SP - Looking 
Session 17,2.373656,Fri May 31 16:23:35.723 2019,13907.29,Fri May 31 16:38:30.723 2019,C - Reading
Session 18,2.373656,Fri May 31 16:38:31.802 2019,13907.29,Fri May 31 16:58:00.723 2019,Break Out - Other
Session 18,2.373656,Fri May 31 16:58:01.723 2019,13907.29,Fri May 31 17:19:57.723 2019,C - Reading
