Frame#,Time,Timestamp,ROI,Breathing
0,0,Wed Jul 24 10:23:55.201 2019,31.28933,-1
2,0.1286553,Wed Jul 24 10:23:55.329 2019,31.28964,-1
3,0.1695468,Wed Jul 24 10:23:55.370 2019,31.28461,-1
4,0.2244001,Wed Jul 24 10:23:55.425 2019,31.28461,-1
5,0.2663042,Wed Jul 24 10:23:55.467 2019,31.28402,-1
6,0.3121647,Wed Jul 24 10:23:55.513 2019,31.28055,-1
7,0.3640262,Wed Jul 24 10:23:55.565 2019,31.27458,-1
8,0.4178851,Wed Jul 24 10:23:55.619 2019,31.26611,-1
9,0.4627624,Wed Jul 24 10:23:55.664 2019,31.25382,-1
10,0.5156213,Wed Jul 24 10:23:55.716 2019,31.25579,-1
11,0.5684816,Wed Jul 24 10:23:55.769 2019,31.24379,-1
12,0.6273223,Wed Jul 24 10:23:55.828 2019,31.24214,-1
13,0.6731995,Wed Jul 24 10:23:55.874 2019,31.22561,-1
14,0.7479993,Wed Jul 24 10:23:55.949 2019,31.21378,-1
15,1.113024,Wed Jul 24 10:23:56.314 2019,31.19151,-1
17,1.261627,Wed Jul 24 10:23:56.462 2019,31.18718,-1
18,1.322466,Wed Jul 24 10:23:56.523 2019,31.16885,-1
19,1.420202,Wed Jul 24 10:23:56.621 2019,31.15414,-1
20,1.537888,Wed Jul 24 10:23:56.739 2019,31.1569,-1
21,1.61169,Wed Jul 24 10:23:56.812 2019,31.18478,-1
22,1.674522,Wed Jul 24 10:23:56.875 2019,31.2062,-1
23,1.75032,Wed Jul 24 10:23:56.951 2019,31.21894,-1
24,1.837088,Wed Jul 24 10:23:57.038 2019,31.21652,-1
25,1.904906,Wed Jul 24 10:23:57.106 2019,31.21729,-1
27,1.992672,Wed Jul 24 10:23:57.193 2019,31.23077,-1
28,2.036556,Wed Jul 24 10:23:57.237 2019,31.23146,-1
29,2.079439,Wed Jul 24 10:23:57.280 2019,31.23034,-1
30,2.134294,Wed Jul 24 10:23:57.335 2019,31.21872,-1
31,2.189147,Wed Jul 24 10:23:57.390 2019,31.21251,-1
32,2.231035,Wed Jul 24 10:23:57.432 2019,31.21353,-1
33,2.275914,Wed Jul 24 10:23:57.477 2019,31.21527,-1
34,2.319798,Wed Jul 24 10:23:57.521 2019,31.21447,-1
35,2.370661,Wed Jul 24 10:23:57.571 2019,31.21255,-1
36,2.413547,Wed Jul 24 10:23:57.614 2019,31.22064,-1
37,2.471393,Wed Jul 24 10:23:57.672 2019,31.22204,-1
38,2.512283,Wed Jul 24 10:23:57.713 2019,31.21786,-1
39,2.571126,Wed Jul 24 10:23:57.772 2019,31.22266,-1
40,2.622987,Wed Jul 24 10:23:57.824 2019,31.22672,-1
41,2.669863,Wed Jul 24 10:23:57.871 2019,31.22191,-1
42,2.718731,Wed Jul 24 10:23:57.920 2019,31.21391,-1
43,2.771591,Wed Jul 24 10:23:57.972 2019,31.21934,-1
44,2.829436,Wed Jul 24 10:23:58.030 2019,31.22087,-1
45,2.886283,Wed Jul 24 10:23:58.087 2019,31.2193,-1
46,2.940139,Wed Jul 24 10:23:58.141 2019,31.2212,-1
47,2.992997,Wed Jul 24 10:23:58.194 2019,31.22645,-1
48,3.048847,Wed Jul 24 10:23:58.250 2019,31.23207,-1
49,3.103701,Wed Jul 24 10:23:58.304 2019,31.24118,-1
50,3.147584,Wed Jul 24 10:23:58.348 2019,31.24486,-1
51,3.2164,Wed Jul 24 10:23:58.417 2019,31.24093,-1
52,3.268261,Wed Jul 24 10:23:58.469 2019,31.23943,-1
53,3.32511,Wed Jul 24 10:23:58.526 2019,31.2341,-1
54,3.374977,Wed Jul 24 10:23:58.576 2019,31.23121,-1
55,3.430827,Wed Jul 24 10:23:58.632 2019,31.22877,-1
56,3.493659,Wed Jul 24 10:23:58.694 2019,31.21778,-1
57,3.548512,Wed Jul 24 10:23:58.749 2019,31.22208,-1
58,3.611345,Wed Jul 24 10:23:58.812 2019,31.21832,-1
59,3.694127,Wed Jul 24 10:23:58.895 2019,31.21249,-1
60,3.739005,Wed Jul 24 10:23:58.940 2019,31.20712,-1
61,3.819787,Wed Jul 24 10:23:59.021 2019,31.18816,-1
62,3.872646,Wed Jul 24 10:23:59.073 2019,31.16455,-1
63,3.926502,Wed Jul 24 10:23:59.127 2019,31.15746,-1
64,3.980358,Wed Jul 24 10:23:59.181 2019,31.16555,-1
65,4.031222,Wed Jul 24 10:23:59.232 2019,31.1636,-1
66,4.089068,Wed Jul 24 10:23:59.290 2019,31.16185,-1
67,4.13694,Wed Jul 24 10:23:59.338 2019,31.16049,-1
68,4.205755,Wed Jul 24 10:23:59.407 2019,31.15483,-1
69,4.257617,Wed Jul 24 10:23:59.458 2019,31.1462,-1
70,4.310475,Wed Jul 24 10:23:59.511 2019,31.16697,-1
71,4.369318,Wed Jul 24 10:23:59.570 2019,31.15268,-1
72,4.419184,Wed Jul 24 10:23:59.620 2019,31.15086,-1
73,4.472046,Wed Jul 24 10:23:59.673 2019,31.14507,-1
74,4.514928,Wed Jul 24 10:23:59.716 2019,31.13107,-1
75,4.575766,Wed Jul 24 10:23:59.777 2019,31.1277,-1
76,4.626635,Wed Jul 24 10:23:59.827 2019,31.12204,-1
77,4.683478,Wed Jul 24 10:23:59.884 2019,31.11732,-1
78,4.730353,Wed Jul 24 10:23:59.931 2019,31.10649,-1
79,4.789196,Wed Jul 24 10:23:59.990 2019,31.10609,-1
80,4.832081,Wed Jul 24 10:24:00.033 2019,31.1053,-1
81,4.890922,Wed Jul 24 10:24:00.092 2019,31.11341,-1
82,4.946774,Wed Jul 24 10:24:00.148 2019,31.12346,-1
83,5.005617,Wed Jul 24 10:24:00.206 2019,31.13788,-1
84,5.048502,Wed Jul 24 10:24:00.249 2019,31.15324,-1
85,5.101361,Wed Jul 24 10:24:00.302 2019,31.15832,-1
86,5.147238,Wed Jul 24 10:24:00.348 2019,31.16741,-1
87,5.212065,Wed Jul 24 10:24:00.413 2019,31.17527,-1
88,5.263927,Wed Jul 24 10:24:00.465 2019,31.18555,-1
89,5.298833,Wed Jul 24 10:24:00.500 2019,31.19656,-1
90,5.343713,Wed Jul 24 10:24:00.544 2019,31.19926,-1
91,5.403553,Wed Jul 24 10:24:00.604 2019,31.19738,-1
92,5.463392,Wed Jul 24 10:24:00.664 2019,31.2017,-1
93,5.507275,Wed Jul 24 10:24:00.708 2019,31.20227,-1
94,5.575095,Wed Jul 24 10:24:00.776 2019,31.20099,-1
95,5.631942,Wed Jul 24 10:24:00.833 2019,31.19477,-1
96,5.687793,Wed Jul 24 10:24:00.889 2019,31.20519,-1
97,5.733671,Wed Jul 24 10:24:00.934 2019,31.20799,-1
98,5.792514,Wed Jul 24 10:24:00.993 2019,31.20337,-1
99,5.834401,Wed Jul 24 10:24:01.035 2019,31.19911,-1
100,5.904214,Wed Jul 24 10:24:01.105 2019,31.19608,-1
101,5.976022,Wed Jul 24 10:24:01.177 2019,31.18227,-1
102,6.04085,Wed Jul 24 10:24:01.242 2019,31.17585,-1
103,6.116646,Wed Jul 24 10:24:01.317 2019,31.17259,-1
104,6.204411,Wed Jul 24 10:24:01.405 2019,31.16929,-1
105,6.252283,Wed Jul 24 10:24:01.453 2019,31.15917,-1
106,6.307137,Wed Jul 24 10:24:01.508 2019,31.15495,-1
107,6.372961,Wed Jul 24 10:24:01.574 2019,31.15305,-1
108,6.423825,Wed Jul 24 10:24:01.625 2019,31.14597,-1
109,6.48167,Wed Jul 24 10:24:01.682 2019,31.14373,-1
110,6.555475,Wed Jul 24 10:24:01.756 2019,31.15036,-1
111,6.597362,Wed Jul 24 10:24:01.798 2019,31.15017,-1
112,6.645233,Wed Jul 24 10:24:01.846 2019,31.15067,-1
113,6.692107,Wed Jul 24 10:24:01.893 2019,31.1519,-1
114,6.746961,Wed Jul 24 10:24:01.948 2019,31.16745,-1
115,6.792838,Wed Jul 24 10:24:01.994 2019,31.17249,-1
116,6.84371,Wed Jul 24 10:24:02.044 2019,31.18716,-1
117,6.890577,Wed Jul 24 10:24:02.091 2019,31.19042,-1
118,6.946428,Wed Jul 24 10:24:02.147 2019,31.19951,-1
119,7.021228,Wed Jul 24 10:24:02.222 2019,31.18975,-1
120,7.074087,Wed Jul 24 10:24:02.275 2019,31.17665,-1
121,7.131931,Wed Jul 24 10:24:02.333 2019,31.16572,-1
122,7.178805,Wed Jul 24 10:24:02.380 2019,31.15794,-1
123,7.234657,Wed Jul 24 10:24:02.435 2019,31.15142,-1
124,7.290507,Wed Jul 24 10:24:02.491 2019,31.15322,-1
125,7.341372,Wed Jul 24 10:24:02.542 2019,31.15119,-1
126,7.386251,Wed Jul 24 10:24:02.587 2019,31.14921,-1
127,7.44709,Wed Jul 24 10:24:02.648 2019,31.14043,-1
128,7.506929,Wed Jul 24 10:24:02.708 2019,31.13972,-1
130,7.605666,Wed Jul 24 10:24:02.806 2019,31.13109,-1
131,7.647553,Wed Jul 24 10:24:02.848 2019,31.12484,-1
132,7.702406,Wed Jul 24 10:24:02.903 2019,31.11587,-1
133,7.759254,Wed Jul 24 10:24:02.960 2019,31.11357,-1
134,7.806129,Wed Jul 24 10:24:03.007 2019,31.11372,-1
135,7.85799,Wed Jul 24 10:24:03.059 2019,31.11729,-1
136,7.914839,Wed Jul 24 10:24:03.116 2019,31.11209,-1
137,7.973681,Wed Jul 24 10:24:03.174 2019,31.09826,-1
138,8.033522,Wed Jul 24 10:24:03.234 2019,31.09035,-1
139,8.08639,Wed Jul 24 10:24:03.287 2019,31.09069,-1
140,8.144225,Wed Jul 24 10:24:03.345 2019,31.07878,-1
141,8.205062,Wed Jul 24 10:24:03.406 2019,31.07683,-1
142,8.247948,Wed Jul 24 10:24:03.449 2019,31.08927,-1
143,8.301805,Wed Jul 24 10:24:03.503 2019,31.10195,-1
144,8.348679,Wed Jul 24 10:24:03.549 2019,31.11955,-1
145,8.412507,Wed Jul 24 10:24:03.613 2019,31.1426,-1
146,8.483318,Wed Jul 24 10:24:03.684 2019,31.14747,-1
147,8.55413,Wed Jul 24 10:24:03.755 2019,31.14567,-1
148,8.628929,Wed Jul 24 10:24:03.830 2019,31.13775,-1
149,8.677804,Wed Jul 24 10:24:03.879 2019,31.13995,-1
150,8.735643,Wed Jul 24 10:24:03.936 2019,31.13934,-1
151,8.801467,Wed Jul 24 10:24:04.002 2019,31.15186,-1
152,8.881254,Wed Jul 24 10:24:04.082 2019,31.15744,-1
153,8.933116,Wed Jul 24 10:24:04.134 2019,31.1653,-1
154,8.989964,Wed Jul 24 10:24:04.191 2019,31.16965,-1
155,9.05479,Wed Jul 24 10:24:04.256 2019,31.18739,-1
156,9.121612,Wed Jul 24 10:24:04.322 2019,31.19405,-1
157,9.184444,Wed Jul 24 10:24:04.385 2019,31.1887,-1
158,9.2383,Wed Jul 24 10:24:04.439 2019,31.17817,-1
159,9.298141,Wed Jul 24 10:24:04.499 2019,31.17934,-1
160,9.355985,Wed Jul 24 10:24:04.557 2019,31.18578,-1
161,9.404854,Wed Jul 24 10:24:04.606 2019,31.19558,-1
162,9.452727,Wed Jul 24 10:24:04.654 2019,31.19543,-1
163,9.521543,Wed Jul 24 10:24:04.722 2019,31.19506,-1
164,9.583377,Wed Jul 24 10:24:04.784 2019,31.18758,-1
165,9.63823,Wed Jul 24 10:24:04.839 2019,31.17984,-1
166,9.688097,Wed Jul 24 10:24:04.889 2019,31.18172,-1
167,9.744945,Wed Jul 24 10:24:04.946 2019,31.18891,-1
168,9.794812,Wed Jul 24 10:24:04.996 2019,31.19153,-1
169,9.856647,Wed Jul 24 10:24:05.057 2019,31.18532,-1
170,9.91549,Wed Jul 24 10:24:05.116 2019,31.18057,-1
171,9.977324,Wed Jul 24 10:24:05.178 2019,31.17913,-1
172,10.03018,Wed Jul 24 10:24:05.231 2019,31.1803,-1
173,10.08005,Wed Jul 24 10:24:05.281 2019,31.18939,-1
175,10.20073,Wed Jul 24 10:24:05.402 2019,31.18889,-1
176,10.2476,Wed Jul 24 10:24:05.448 2019,31.20078,-1
177,10.30545,Wed Jul 24 10:24:05.506 2019,31.20193,-1
178,10.34833,Wed Jul 24 10:24:05.549 2019,31.20241,-1
179,10.40518,Wed Jul 24 10:24:05.606 2019,31.20325,-1
180,10.45505,Wed Jul 24 10:24:05.656 2019,31.19059,-1
181,10.51289,Wed Jul 24 10:24:05.714 2019,31.19694,-1
182,10.55777,Wed Jul 24 10:24:05.759 2019,31.19911,-1
183,10.60764,Wed Jul 24 10:24:05.808 2019,31.19725,-1
184,10.66848,Wed Jul 24 10:24:05.869 2019,31.19205,-1
185,10.72333,Wed Jul 24 10:24:05.924 2019,31.19167,-1
186,10.77121,Wed Jul 24 10:24:05.972 2019,31.18657,-1
187,10.81907,Wed Jul 24 10:24:06.020 2019,31.1997,-1
188,10.87093,Wed Jul 24 10:24:06.072 2019,31.19493,-1
189,10.93776,Wed Jul 24 10:24:06.139 2019,31.18342,-1
190,10.99061,Wed Jul 24 10:24:06.191 2019,31.18611,-1
191,11.04347,Wed Jul 24 10:24:06.244 2019,31.19364,-1
192,11.12226,Wed Jul 24 10:24:06.323 2019,31.2152,-1
193,11.19607,Wed Jul 24 10:24:06.397 2019,31.21677,-1
194,11.25092,Wed Jul 24 10:24:06.452 2019,31.22425,-1
195,11.32572,Wed Jul 24 10:24:06.527 2019,31.19934,-1
196,11.38257,Wed Jul 24 10:24:06.583 2019,31.20519,-1
197,11.43343,Wed Jul 24 10:24:06.634 2019,31.20337,-1
198,11.48729,Wed Jul 24 10:24:06.688 2019,31.25518,-1
