"Day","PP","G","R","TA","B5_A","B5_C","B5_E","B5_N","B5_O","T_D","SA_B","SA_E","N_MD","N_PD","N_TD","N_P","N_E","N_F","RW","SA","SP","I","tOut","fOut","F_Happy","F_Neutral","F_Negarive"
"1",-0.10110727484891,"1","1",36,29,24,30,30,30,14113,38,38,15,0,10,15,15,5,16.77,2.21,2.08,0,1433.5,1.0203358605541,0.0132757908886617,0.0930242188582707,0.886365871792562
"2",-0.23917565628719,"1","1",36,29,24,30,30,30,14613,40,63,15,5,10,13,15,15,54.65,0.76,3.55,0,466.5,0.492711968794909,0.0300084184358894,0.309936520566415,0.656232383620581
"3",0.16327113623186,"1","1",36,29,24,30,30,30,14265,23,43,7,0,3,7,7,10,51.89,0.52,11.79,1.67,540.333333333333,0.757097791798107,0.0324976616165075,0.0959882235037651,0.86770314644628
"4",-0.0422292981057799,"1","1",36,29,24,30,30,30,14326,31,38,7,0,5,7,10,3,78.72,0,12.75,0,0,0,0.0565817374682057,0.17593867723652,0.745745952403986
"1",0.0929704607153301,"1","3",56,32,20,11,29,33,20600,35,31,10,0,10,18,10,5,79.92,0.92,0,0,1500.5,0.349514563106796,0.0130180583833629,0.0884307827006247,0.898401192077218
"2",0.18292206776415,"1","3",56,32,20,11,29,33,22074,28,52,15,2,10,20,10,5,80.66,0.88,0,0,823,0.489263386789889,0.0512185402119467,0.0655293888695291,0.88267104889225
"3",-0.19977164856322,"1","3",56,32,20,11,29,33,9304,24,24,5,0,10,15,15,5,69.97,0,0,11.29,147.5,0.773860705073087,0.0210413326998981,0.159685192437024,0.819221468005675
"4",0.41142093708449,"1","3",56,32,20,11,29,33,15586,28,42,15,5,15,10,15,8,95.16,0,0,0,159,0.230976517387399,0.00672079771756179,0.392229125952474,0.600814150043953
"1",-0.22570406414139,"1","4",32,29,42,34,19,44,13585,30,35,15,10,15,18,18,5,89.91,0,0,0,0,0,0.0617522738055477,0.0353816801811442,0.899440855904423
"2",0.46322253920995,"1","4",32,29,42,34,19,44,14334,31,31,15,15,15,18,15,2,85.84,0,6.34,0,0,0,0.124537266838,0.0509580201630467,0.822426280731958
"3",0.961361011356391,"1","4",32,29,42,34,19,44,3712,29,29,5,5,2,15,5,2,91.78,0,6.06,0,32,0.969827586206897,0.0164551227201331,0.16648133901134,0.816526303756353
"4",-0.30353052489162,"1","4",32,29,42,34,19,44,13087,27,25,12,10,10,18,5,2,96.24,0.86,0,0,0,0,0.0127820275513252,0.149216745916162,0.837856439362958
