Time,HeartRate
2019-12-13 18:21:50,82
2019-12-13 18:21:55,85
2019-12-13 18:22:00,87
2019-12-13 18:22:05,83
2019-12-13 18:22:06,83
2019-12-13 18:22:14,79
2019-12-13 18:22:18,79
2019-12-13 18:22:21,82
2019-12-13 18:22:30,87
2019-12-13 18:22:31,86
2019-12-13 18:22:40,85
2019-12-13 18:22:44,83
2019-12-13 18:22:50,79
2019-12-13 18:22:53,80
2019-12-13 18:22:58,83
2019-12-13 18:23:01,84
2019-12-13 18:23:08,80
2019-12-13 18:23:11,83
2019-12-13 18:23:19,82
2019-12-13 18:23:25,76
2019-12-13 18:23:30,75
2019-12-13 18:23:35,77
2019-12-13 18:23:39,76
2019-12-13 18:23:41,77
2019-12-13 18:23:50,78
2019-12-13 18:23:54,80
2019-12-13 18:23:58,80
2019-12-13 18:24:01,81
2019-12-13 18:24:08,94
2019-12-13 18:24:14,86
2019-12-13 18:24:17,83
2019-12-13 18:24:25,80
2019-12-13 18:24:29,80
2019-12-13 18:24:35,79
2019-12-13 18:24:37,79
2019-12-13 18:24:42,78
2019-12-13 18:24:47,78
2019-12-13 18:24:54,78
2019-12-13 18:24:58,79
2019-12-13 18:25:03,79
2019-12-13 18:25:10,81
2019-12-13 18:25:11,81
2019-12-13 18:25:16,82
2019-12-13 18:25:23,81
2019-12-13 18:25:29,81
2019-12-13 18:25:34,81
2019-12-13 18:25:37,81
2019-12-13 18:25:45,75
2019-12-13 18:25:50,76
2019-12-13 18:25:54,77
2019-12-13 18:25:56,78
2019-12-13 18:26:01,78
2019-12-13 18:26:10,87
2019-12-13 18:26:15,87
2019-12-13 18:26:16,86
2019-12-13 18:26:25,82
2019-12-13 18:26:30,81
2019-12-13 18:26:34,81
2019-12-13 18:26:36,82
2019-12-13 18:26:45,86
2019-12-13 18:26:46,85
2019-12-13 18:26:55,82
2019-12-13 18:26:56,82
2019-12-13 18:27:01,82
2019-12-13 18:27:08,80
2019-12-13 18:27:13,88
2019-12-13 18:27:20,80
2019-12-13 18:27:25,80
2019-12-13 18:27:26,80
2019-12-13 18:27:35,86
2019-12-13 18:27:40,81
2019-12-13 18:27:42,81
2019-12-13 18:27:47,78
2019-12-13 18:27:55,76
2019-12-13 18:28:00,76
2019-12-13 18:28:05,77
2019-12-13 18:28:06,76
2019-12-13 18:28:11,76
2019-12-13 18:28:16,81
2019-12-13 18:28:25,86
2019-12-13 18:28:28,84
2019-12-13 18:28:31,84
2019-12-13 18:28:40,79
2019-12-13 18:28:42,80
2019-12-13 18:28:50,76
2019-12-13 18:28:51,76
2019-12-13 18:29:00,79
2019-12-13 18:29:04,78
2019-12-13 18:29:10,79
2019-12-13 18:29:14,79
2019-12-13 18:29:18,79
2019-12-13 18:29:25,78
2019-12-13 18:29:26,77
2019-12-13 18:29:35,77
2019-12-13 18:29:36,77
2019-12-13 18:29:43,78
2019-12-13 18:29:46,78
2019-12-13 18:29:54,84
2019-12-13 18:29:56,84
2019-12-13 18:30:03,86
2019-12-13 18:30:10,81
2019-12-13 18:30:15,79
2019-12-13 18:30:16,80
2019-12-13 18:30:21,80
2019-12-13 18:30:28,76
2019-12-13 18:30:35,77
2019-12-13 18:30:38,76
2019-12-13 18:30:41,77
2019-12-13 18:30:50,84
2019-12-13 18:30:53,85
2019-12-13 18:31:00,83
2019-12-13 18:31:01,82
2019-12-13 18:31:10,86
2019-12-13 18:31:11,86
2019-12-13 18:31:17,82
2019-12-13 18:31:21,79
2019-12-13 18:31:26,81
2019-12-13 18:31:35,80
