Time,HeartRate
2019-06-13 17:24:25,57
2019-06-13 17:38:14,74
2019-06-13 17:38:15,75
2019-06-13 17:38:24,88
2019-06-13 17:38:29,87
2019-06-13 17:38:33,86
2019-06-13 17:38:35,86
2019-06-13 17:38:44,77
2019-06-13 17:38:47,75
2019-06-13 17:38:50,77
2019-06-13 17:38:59,79
2019-06-13 17:39:01,78
2019-06-13 17:39:05,74
2019-06-13 17:39:14,69
2019-06-13 17:39:19,70
2019-06-13 17:39:20,70
2019-06-13 17:39:25,71
2019-06-13 17:39:30,75
2019-06-13 17:39:39,65
2019-06-13 17:39:44,65
2019-06-13 17:39:49,65
2019-06-13 17:39:50,64
2019-06-13 17:39:58,63
2019-06-13 17:40:03,64
2019-06-13 17:40:06,64
2019-06-13 17:40:10,65
2019-06-13 17:40:16,67
2019-06-13 17:40:23,68
2019-06-13 17:40:25,68
2019-06-13 17:40:34,73
2019-06-13 17:40:37,73
2019-06-13 17:40:40,72
2019-06-13 17:40:49,66
2019-06-13 17:40:54,65
2019-06-13 17:40:59,65
2019-06-13 17:41:00,65
2019-06-13 17:41:07,66
2019-06-13 17:41:10,66
2019-06-13 17:41:19,67
2019-06-13 17:41:20,68
2019-06-13 17:41:26,70
2019-06-13 17:41:32,70
2019-06-13 17:41:35,69
2019-06-13 17:41:41,68
2019-06-13 17:41:48,70
2019-06-13 17:41:51,69
2019-06-13 17:41:57,69
2019-06-13 17:42:03,71
2019-06-13 17:42:05,72
2019-06-13 17:42:14,74
2019-06-13 17:42:15,74
2019-06-13 17:42:24,69
2019-06-13 17:42:29,69
2019-06-13 17:42:30,69
2019-06-13 17:42:39,68
2019-06-13 17:42:43,69
2019-06-13 17:42:49,70
2019-06-13 17:42:53,70
2019-06-13 17:42:58,71
2019-06-13 17:43:14,72
2019-06-13 17:43:16,72
2019-06-13 17:43:25,70
2019-06-13 17:43:27,70
2019-06-13 17:43:31,69
2019-06-13 17:43:40,66
2019-06-13 17:43:45,66
2019-06-13 17:43:50,66
2019-06-13 17:43:54,66
2019-06-13 17:43:56,66
2019-06-13 17:44:04,69
2019-06-13 17:44:08,69
2019-06-13 17:44:14,68
2019-06-13 17:44:20,67
2019-06-13 17:44:21,68
2019-06-13 17:44:26,69
2019-06-13 17:44:35,75
2019-06-13 17:44:39,77
2019-06-13 17:44:44,79
2019-06-13 17:44:48,81
2019-06-13 17:44:55,84
2019-06-13 17:44:59,81
2019-06-13 17:45:01,79
2019-06-13 17:45:10,77
2019-06-13 17:45:11,76
2019-06-13 17:45:19,75
2019-06-13 17:45:21,76
2019-06-13 17:45:28,68
2019-06-13 17:45:35,68
2019-06-13 17:45:36,68
2019-06-13 17:45:42,65
2019-06-13 17:45:50,76
2019-06-13 17:45:52,75
2019-06-13 17:46:00,70
2019-06-13 17:46:05,70
2019-06-13 17:46:07,70
2019-06-13 17:46:14,70
2019-06-13 17:46:18,71
2019-06-13 17:46:22,72
2019-06-13 17:46:26,72
2019-06-13 17:46:31,70
2019-06-13 17:46:36,70
2019-06-13 17:46:41,68
