Session,StartTime,startTimestamp,EndTime,EndTimestamp,Ontologies
Session 1,13.06209,Thu Jun 06 13:08:50.084 2019,2692.74,Thu Jun 06 13:17:28.084 2019,C - Reading
Session 2,13.06209,Thu Jun 06 13:17:29.084 2019,2692.74,Thu Jun 06 13:32:34.084 2019,C - Writing/Reading
Session 3,13.06209,Thu Jun 06 13:32:35.084 2019,2692.74,Thu Jun 06 13:33:53.084 2019,SP - Looking
Session 4,13.06209,Thu Jun 06 13:33:54.084 2019,2692.74,Thu Jun 06 13:55:58.084 2019,C - Writing/Reading
Session 5,13.06209,Thu Jun 06 13:55:59.084 2019,2692.74,Thu Jun 06 13:56:38.084 2019,SP - Looking
Session 6,13.06209,Thu Jun 06 13:56:39.084 2019,2692.74,Thu Jun 06 14:01:40.084 2019,Break Out - Other
Session 7,13.06209,Thu Jun 06 14:01:41.084 2019,2692.74,Thu Jun 06 15:06:15.084 2019,C - Writing/Reading
Session 8,13.06209,Thu Jun 06 15:06:16.084 2019,2692.74,Thu Jun 06 15:35:40.084 2019,"C - Writing/Reading, Listening on Headphone"
Session 9,13.06209,Thu Jun 06 15:35:41.084 2019,2692.74,Thu Jun 06 15:37:55.084 2019,Break In - Other
Session 10,13.06209,Thu Jun 06 15:37:56.084 2019,2692.74,Thu Jun 06 15:45:48.084 2019,C - Writing/Reading
Session 11,13.06209,Thu Jun 06 15:45:49.084 2019,2692.74,Thu Jun 06 15:57:29.084 2019,"C - Writing/Reading, Listening on Headphone"
Session 12,13.06209,Thu Jun 06 15:57:30.084 2019,2692.74,Thu Jun 06 15:59:28.084 2019,"SP - Looking, Listening on Headphone"
Session 12,13.06209,Thu Jun 06 15:59:29.084 2019,2692.74,Thu Jun 06 16:25:04.084 2019,"C - Reading, Listening on Headphone"
Session 12,13.06209,Thu Jun 06 16:25:05.084 2019,2692.74,Thu Jun 06 16:27:05.084 2019,Break Out - Other
Session 12,13.06209,Thu Jun 06 16:27:06.084 2019,2692.74,Thu Jun 06 16:44:14.084 2019,"C - Reading, Listening on Headphone"
Session 12,13.06209,Thu Jun 06 16:44:15.084 2019,2692.74,Thu Jun 06 16:53:57.849 2019,C - Reading
