Session,StartTime,startTimestamp,EndTime,EndTimestamp,Ontologies
Session 1,3.846716,Sun May 26 14:04:00.582 2019,10717.62,Sun May 26 14:21:30.358 2019,Break Out - Tea/Coffee
Session 2,10724.03,Sun May 26 14:21:30.767 2019,10724.94,Sun May 26 14:26:43.672 2019,SP - Looking
Session 3,10724.03,Sun May 26 14:27:40.767 2019,10724.94,Sun May 26 14:30:41.672 2019,HC - Writing
Session 4,10724.03,Sun May 26 14:30:41.767 2019,10724.94,Sun May 26 14:31:35.672 2019,SP - Looking 
Session 5,10724.03,Sun May 26 14:33:00.767 2019,10724.94,Sun May 26 14:45:00.672 2019,"SP - Looking, C - Reading "
Session 6,10724.03,Sun May 26 14:45:10.767 2019,10724.94,Sun May 26 14:47:05.672 2019,C - Reading
Session 6,10724.03,Sun May 26 14:47:06.767 2019,10724.94,Sun May 26 14:53:40.672 2019,SP - Looking
Session 7,10724.03,Sun May 26 14:54:00.767 2019,10724.94,Sun May 26 14:56:00.672 2019,HC - Writing
Session 8,10724.03,Sun May 26 15:02:30.767 2019,10724.94,Sun May 26 15:04:00.672 2019,C - Writing
Session 9,10724.03,Sun May 26 15:35:10.767 2019,10724.94,Sun May 26 15:37:10.672 2019,C - Writing
Session 10,10724.03,Sun May 26 16:07:15.767 2019,10724.94,Sun May 26 16:08:31.672 2019,Thinking
Session 11,10724.03,Sun May 26 16:08:32.767 2019,10724.94,Sun May 26 16:25:10.672 2019,Break Out - Tea/Coffee
Session 12,10724.03,Sun May 26 16:25:10.767 2019,10724.94,Sun May 26 16:26:30.672 2019,Thinking
Session 13,10724.03,Sun May 26 16:26:30.767 2019,10724.94,Sun May 26 16:30:30.672 2019,C - Writing/Reading
Session 14,10724.03,Sun May 26 16:30:42.767 2019,10724.94,Sun May 26 16:32:40.672 2019,SP - Looking
Session 15,10724.03,Sun May 26 17:13:45.767 2019,10724.94,Sun May 26 17:31:30.672 2019,Break Out - Tea/Coffee
Session 16,10724.03,Sun May 26 17:45:12.767 2019,10724.94,Sun May 26 17:48:18.672 2019,SP - Looking
Session 17,10724.03,Sun May 26 17:52:30.767 2019,10724.94,Sun May 26 17:54:54.672 2019,SP - Looking
