Time,HeartRate
2019-05-15 15:28:32,67
2019-05-15 15:37:32,82
2019-05-15 16:36:53,81
2019-05-15 16:37:41,83
2019-05-15 16:37:44,83
2019-05-15 16:37:50,83
2019-05-15 16:37:55,82
2019-05-15 16:37:59,79
2019-05-15 16:38:03,78
2019-05-15 16:38:07,77
2019-05-15 16:38:15,75
2019-05-15 16:38:20,78
2019-05-15 16:38:21,78
2019-05-15 16:38:30,79
2019-05-15 16:38:34,76
2019-05-15 16:38:40,76
2019-05-15 16:38:41,77
2019-05-15 16:38:49,80
2019-05-15 16:38:55,78
2019-05-15 16:38:57,78
2019-05-15 16:39:02,76
2019-05-15 16:39:10,76
2019-05-15 16:39:12,75
2019-05-15 16:39:16,75
2019-05-15 16:39:25,79
2019-05-15 16:39:29,79
2019-05-15 16:39:31,78
2019-05-15 16:39:39,83
2019-05-15 16:39:41,83
2019-05-15 16:39:50,84
2019-05-15 16:39:53,81
2019-05-15 16:40:00,78
2019-05-15 16:40:03,78
2019-05-15 16:40:07,78
2019-05-15 16:40:12,81
2019-05-15 16:40:19,83
2019-05-15 16:40:21,84
2019-05-15 16:40:26,85
2019-05-15 16:40:35,78
2019-05-15 16:40:40,78
2019-05-15 16:40:43,78
2019-05-15 16:40:49,79
2019-05-15 16:40:53,79
2019-05-15 16:40:57,79
2019-05-15 16:41:02,78
2019-05-15 16:41:10,75
2019-05-15 16:41:15,74
2019-05-15 16:41:17,75
2019-05-15 16:41:24,76
2019-05-15 16:41:30,76
2019-05-15 16:41:31,76
2019-05-15 16:41:38,76
2019-05-15 16:41:42,77
2019-05-15 16:41:50,80
2019-05-15 16:41:51,79
2019-05-15 16:42:00,76
2019-05-15 16:42:01,76
2019-05-15 16:42:06,78
2019-05-15 16:42:15,78
2019-05-15 16:42:19,79
2019-05-15 16:42:21,79
2019-05-15 16:42:30,80
2019-05-15 16:42:31,80
2019-05-15 16:42:39,77
2019-05-15 16:42:44,74
2019-05-15 16:42:46,74
2019-05-15 16:42:53,76
2019-05-15 16:43:00,80
2019-05-15 16:43:03,81
2019-05-15 16:43:06,82
2019-05-15 16:43:15,80
2019-05-15 16:43:18,79
2019-05-15 16:43:25,75
2019-05-15 16:43:26,75
2019-05-15 16:43:35,79
2019-05-15 16:43:37,78
2019-05-15 16:43:45,80
2019-05-15 16:43:47,80
2019-05-15 16:43:55,79
2019-05-15 16:43:56,79
2019-05-15 16:44:02,83
2019-05-15 16:44:10,84
2019-05-15 16:44:13,82
2019-05-15 16:44:18,81
2019-05-15 16:44:25,80
2019-05-15 16:44:28,80
2019-05-15 16:44:33,81
2019-05-15 16:44:37,81
2019-05-15 16:44:41,81
2019-05-15 16:44:46,81
2019-05-15 16:44:51,81
2019-05-15 16:44:59,85
2019-05-15 16:45:02,83
2019-05-15 16:45:08,78
2019-05-15 16:45:15,77
2019-05-15 16:45:20,77
2019-05-15 16:45:25,78
2019-05-15 16:45:30,79
2019-05-15 16:45:32,79
2019-05-15 16:45:40,79
2019-05-15 16:45:42,80
2019-05-15 16:45:50,82
2019-05-15 16:45:53,79
2019-05-15 16:46:00,78
2019-05-15 16:46:05,78
2019-05-15 16:46:06,78
2019-05-15 16:46:14,80
2019-05-15 16:46:16,80
2019-05-15 16:46:21,79
2019-05-15 16:46:30,82
2019-05-15 16:46:34,79
2019-05-15 16:46:39,79
2019-05-15 16:46:44,79
2019-05-15 16:46:48,79
2019-05-15 16:46:51,80
2019-05-15 16:46:57,81
2019-05-15 16:47:01,85
2019-05-15 16:47:09,85
2019-05-15 16:47:11,85
2019-05-15 16:47:17,84
2019-05-15 16:47:22,81
2019-05-15 16:47:30,79
2019-05-15 16:47:31,79
2019-05-15 16:47:40,83
2019-05-15 16:47:46,81
2019-05-15 16:47:47,82
2019-05-15 16:47:56,84
2019-05-15 16:48:01,79
2019-05-15 16:48:04,78
2019-05-15 16:48:07,81
2019-05-15 16:48:15,88
2019-05-15 16:48:17,89
2019-05-15 16:48:22,96
2019-05-15 16:48:31,90
2019-05-15 16:48:32,89
2019-05-15 16:48:41,88
2019-05-15 16:48:46,84
2019-05-15 16:48:49,84
2019-05-15 16:48:55,82
2019-05-15 16:48:57,81
2019-05-15 16:49:06,85
2019-05-15 16:49:10,84
2019-05-15 16:49:15,81
2019-05-15 16:49:21,77
2019-05-15 16:49:26,76
2019-05-15 16:49:27,76
2019-05-15 16:49:35,74
2019-05-15 16:49:40,76
2019-05-15 16:49:45,76
2019-05-15 16:49:49,79
2019-05-15 16:49:52,79
2019-05-15 16:50:01,79
2019-05-15 16:50:06,79
2019-05-15 16:50:09,78
2019-05-15 16:50:12,77
2019-05-15 16:50:20,75
2019-05-15 16:50:25,76
2019-05-15 16:50:31,80
2019-05-15 16:50:35,78
2019-05-15 16:50:40,77
2019-05-15 16:50:46,79
2019-05-15 16:50:47,79
2019-05-15 16:50:54,77
2019-05-15 16:51:01,77
2019-05-15 16:51:02,77
2019-05-15 16:51:09,78
2019-05-15 16:51:14,79
2019-05-15 16:51:21,78
2019-05-15 16:51:22,79
2019-05-15 16:51:31,83
2019-05-15 16:51:36,79
2019-05-15 16:51:41,77
2019-05-15 16:51:43,76
2019-05-15 16:51:51,76
2019-05-15 16:51:54,76
2019-05-15 16:52:00,76
2019-05-15 16:52:05,80
2019-05-15 16:52:07,80
2019-05-15 16:52:16,82
2019-05-15 16:52:17,81
2019-05-15 16:52:25,77
2019-05-15 16:52:28,77
2019-05-15 16:52:34,77
2019-05-15 16:52:40,80
2019-05-15 16:52:42,79
2019-05-15 16:52:49,79
2019-05-15 16:52:52,80
2019-05-15 16:53:00,77
2019-05-15 16:53:02,76
2019-05-15 16:53:07,77
2019-05-15 16:53:13,80
2019-05-15 16:53:21,79
2019-05-15 16:53:26,78
2019-05-15 16:53:27,78
2019-05-15 16:53:35,78
2019-05-15 16:53:37,78
2019-05-15 16:53:44,79
2019-05-15 16:53:47,79
2019-05-15 16:53:55,77
2019-05-15 16:53:59,77
2019-05-15 16:54:04,76
2019-05-15 16:54:08,79
2019-05-15 16:54:16,78
2019-05-15 16:54:21,78
2019-05-15 16:54:26,78
2019-05-15 16:54:27,77
2019-05-15 16:54:34,78
2019-05-15 16:54:37,81
2019-05-15 16:54:46,83
2019-05-15 16:54:51,80
2019-05-15 16:54:52,79
2019-05-15 16:54:57,78
2019-05-15 16:55:06,78
2019-05-15 16:55:11,78
2019-05-15 16:55:16,78
2019-05-15 16:55:19,79
2019-05-15 16:55:25,76
2019-05-15 16:55:28,76
2019-05-15 16:55:36,83
2019-05-15 16:55:39,82
2019-05-15 16:55:42,79
2019-05-15 16:55:51,78
2019-05-15 16:55:54,78
2019-05-15 16:55:57,77
2019-05-15 16:56:03,78
2019-05-15 16:56:11,79
2019-05-15 16:56:14,78
2019-05-15 16:56:20,75
2019-05-15 16:56:22,76
2019-05-15 16:56:29,79
2019-05-15 16:56:36,79
2019-05-15 16:56:38,79
2019-05-15 16:56:43,79
2019-05-15 16:56:48,78
2019-05-15 16:56:52,77
2019-05-15 16:57:00,79
2019-05-15 16:57:04,79
2019-05-15 16:57:10,78
2019-05-15 16:57:15,79
2019-05-15 16:57:19,78
2019-05-15 16:57:22,78
2019-05-15 16:57:30,78
2019-05-15 16:57:32,79
2019-05-15 16:57:41,79
2019-05-15 16:57:43,79
2019-05-15 16:57:48,82
2019-05-15 16:57:52,82
2019-05-15 16:58:00,79
2019-05-15 16:58:03,79
2019-05-15 16:58:11,78
2019-05-15 16:58:12,78
2019-05-15 16:58:21,83
2019-05-15 16:58:26,84
2019-05-15 16:58:27,83
2019-05-15 16:58:35,81
2019-05-15 16:58:40,82
2019-05-15 16:58:46,81
2019-05-15 16:58:48,80
2019-05-15 16:58:52,80
2019-05-15 16:58:57,81
2019-05-15 16:59:06,81
2019-05-15 16:59:10,81
2019-05-15 16:59:14,80
2019-05-15 16:59:21,81
2019-05-15 16:59:26,80
2019-05-15 16:59:31,79
2019-05-15 16:59:36,79
2019-05-15 16:59:39,80
2019-05-15 16:59:46,80
2019-05-15 16:59:48,80
2019-05-15 16:59:52,81
2019-05-15 16:59:59,86
2019-05-15 17:00:06,81
2019-05-15 17:00:11,80
2019-05-15 17:00:15,81
2019-05-15 17:00:17,81
2019-05-15 17:00:25,79
2019-05-15 17:00:31,80
2019-05-15 17:00:32,80
2019-05-15 17:00:40,79
2019-05-15 17:00:42,79
2019-05-15 17:00:47,76
2019-05-15 17:00:52,77
2019-05-15 17:01:01,80
2019-05-15 17:01:06,82
2019-05-15 17:01:07,82
2019-05-15 17:01:15,78
2019-05-15 17:01:21,78
2019-05-15 17:01:26,79
2019-05-15 17:01:27,79
2019-05-15 17:01:36,80
2019-05-15 17:01:37,80
2019-05-15 17:01:42,79
2019-05-15 17:01:49,77
2019-05-15 17:01:53,76
2019-05-15 17:01:57,78
2019-05-15 17:02:05,77
2019-05-15 17:02:08,77
2019-05-15 17:02:16,80
2019-05-15 17:02:21,79
2019-05-15 17:02:25,78
2019-05-15 17:02:28,77
2019-05-15 17:02:33,76
2019-05-15 17:02:41,79
2019-05-15 17:02:46,80
2019-05-15 17:02:47,80
2019-05-15 17:02:54,80
2019-05-15 17:03:01,82
2019-05-15 17:03:06,81
2019-05-15 17:03:09,81
2019-05-15 17:03:14,80
2019-05-15 17:03:20,81
2019-05-15 17:03:25,81
2019-05-15 17:03:29,81
2019-05-15 17:03:32,82
2019-05-15 17:03:40,81
2019-05-15 17:03:43,81
2019-05-15 17:03:48,80
2019-05-15 17:03:55,79
2019-05-15 17:04:01,78
2019-05-15 17:04:06,78
2019-05-15 17:04:08,78
2019-05-15 17:04:16,78
2019-05-15 17:04:20,79
2019-05-15 17:04:25,79
2019-05-15 17:04:30,79
2019-05-15 17:04:32,78
2019-05-15 17:04:37,79
2019-05-15 17:04:46,79
2019-05-15 17:04:51,79
2019-05-15 17:04:54,79
2019-05-15 17:05:00,80
2019-05-15 17:05:02,80
2019-05-15 17:05:08,81
2019-05-15 17:05:13,79
2019-05-15 17:05:21,79
2019-05-15 17:05:23,80
2019-05-15 17:05:27,81
2019-05-15 17:05:36,88
2019-05-15 17:05:39,88
2019-05-15 17:05:46,84
2019-05-15 17:05:50,85
2019-05-15 17:05:55,85
2019-05-15 17:05:59,85
2019-05-15 17:06:02,84
2019-05-15 17:06:10,80
2019-05-15 17:06:15,79
2019-05-15 17:06:18,79
2019-05-15 17:06:23,82
2019-05-15 17:06:29,82
2019-05-15 17:06:32,82
2019-05-15 17:06:38,84
2019-05-15 17:06:43,80
2019-05-15 17:06:51,79
2019-05-15 17:06:55,80
2019-05-15 17:06:57,80
2019-05-15 17:07:06,80
2019-05-15 17:07:09,79
2019-05-15 17:07:16,79
2019-05-15 17:07:20,80
2019-05-15 17:07:25,80
2019-05-15 17:07:30,79
2019-05-15 17:07:33,80
2019-05-15 17:07:38,80
2019-05-15 17:07:43,79
2019-05-15 17:07:51,84
2019-05-15 17:07:55,82
2019-05-15 17:07:58,80
2019-05-15 17:08:04,79
2019-05-15 17:08:07,79
2019-05-15 17:08:16,82
2019-05-15 17:08:20,80
2019-05-15 17:08:26,80
2019-05-15 17:08:27,80
2019-05-15 17:08:32,81
2019-05-15 17:08:39,82
2019-05-15 17:08:43,81
2019-05-15 17:08:50,80
2019-05-15 17:08:54,79
2019-05-15 17:09:01,80
2019-05-15 17:09:05,81
2019-05-15 17:09:08,80
2019-05-15 17:09:12,79
2019-05-15 17:09:17,79
2019-05-15 17:09:23,79
2019-05-15 17:09:31,79
2019-05-15 17:09:36,79
2019-05-15 17:09:38,79
2019-05-15 17:09:44,79
2019-05-15 17:09:51,81
2019-05-15 17:09:56,80
2019-05-15 17:10:01,80
2019-05-15 17:10:04,79
2019-05-15 17:10:07,79
2019-05-15 17:10:12,82
2019-05-15 17:10:21,83
2019-05-15 17:10:24,83
2019-05-15 17:10:30,80
2019-05-15 17:10:36,80
2019-05-15 17:10:40,80
2019-05-15 17:10:45,80
2019-05-15 17:10:48,80
2019-05-15 17:10:53,80
2019-05-15 17:11:00,79
2019-05-15 17:11:05,80
2019-05-15 17:11:09,79
2019-05-15 17:11:12,78
2019-05-15 17:11:17,77
2019-05-15 17:11:25,78
2019-05-15 17:11:29,80
2019-05-15 17:11:36,79
2019-05-15 17:11:37,79
2019-05-15 17:11:42,78
2019-05-15 17:11:51,79
2019-05-15 17:11:53,79
2019-05-15 17:11:58,80
2019-05-15 17:12:06,82
2019-05-15 17:12:10,80
2019-05-15 17:12:13,80
2019-05-15 17:12:21,86
2019-05-15 17:12:25,87
2019-05-15 17:12:31,83
2019-05-15 17:12:34,82
2019-05-15 17:12:39,81
2019-05-15 17:12:47,79
2019-05-15 17:12:50,79
2019-05-15 17:12:57,80
2019-05-15 17:12:58,80
2019-05-15 17:13:06,80
2019-05-15 17:13:11,80
2019-05-15 17:13:15,80
2019-05-15 17:13:19,80
2019-05-15 17:13:27,80
2019-05-15 17:13:31,81
2019-05-15 17:13:37,80
2019-05-15 17:13:39,81
2019-05-15 17:13:47,82
2019-05-15 17:13:52,82
2019-05-15 17:13:54,82
2019-05-15 17:14:01,87
2019-05-15 17:14:04,86
2019-05-15 17:14:12,81
2019-05-15 17:14:17,81
2019-05-15 17:14:19,81
2019-05-15 17:14:27,82
2019-05-15 17:14:28,82
2019-05-15 17:14:35,83
2019-05-15 17:14:42,82
2019-05-15 17:14:47,81
2019-05-15 17:14:48,81
2019-05-15 17:14:53,81
2019-05-15 17:15:02,82
2019-05-15 17:15:03,82
2019-05-15 17:15:10,81
2019-05-15 17:15:17,80
2019-05-15 17:15:18,80
