Frame#,Time,Timestamp,ROI,Breathing
1,0.0857702,Wed May 15 12:00:36.095 2019,30.67848,-1
2,0.1525917,Wed May 15 12:00:36.162 2019,30.66991,-1
3,0.2194132,Wed May 15 12:00:36.229 2019,30.66438,-1
4,0.2842396,Wed May 15 12:00:36.294 2019,30.69209,-1
5,0.3530559,Wed May 15 12:00:36.363 2019,30.68498,-1
6,0.4168853,Wed May 15 12:00:36.426 2019,30.70613,-1
7,0.4866982,Wed May 15 12:00:36.496 2019,30.70465,-1
8,0.5435488,Wed May 15 12:00:36.553 2019,30.72455,-1
9,0.615355,Wed May 15 12:00:36.625 2019,30.72849,-1
10,0.765952,Wed May 15 12:00:36.775 2019,30.72055,-1
11,0.8616954,Wed May 15 12:00:36.871 2019,30.75881,-1
12,1.010298,Wed May 15 12:00:37.020 2019,30.75657,-1
14,1.209765,Wed May 15 12:00:37.219 2019,30.75522,-1
15,1.264619,Wed May 15 12:00:37.274 2019,30.75765,-1
16,1.353381,Wed May 15 12:00:37.363 2019,30.74302,-1
17,1.473062,Wed May 15 12:00:37.483 2019,30.76365,-1
18,1.569803,Wed May 15 12:00:37.579 2019,30.81622,-1
19,1.655573,Wed May 15 12:00:37.665 2019,30.79816,-1
20,1.729377,Wed May 15 12:00:37.739 2019,30.81357,-1
21,1.793207,Wed May 15 12:00:37.803 2019,30.82442,-1
23,1.915879,Wed May 15 12:00:37.925 2019,30.82,-1
24,1.984694,Wed May 15 12:00:37.994 2019,30.80343,-1
25,2.043538,Wed May 15 12:00:38.053 2019,30.79998,-1
26,2.105378,Wed May 15 12:00:38.115 2019,30.80319,-1
27,2.169201,Wed May 15 12:00:38.179 2019,30.81593,-1
28,2.23702,Wed May 15 12:00:38.247 2019,30.7949,-1
29,2.308827,Wed May 15 12:00:38.318 2019,30.79989,-1
30,2.373654,Wed May 15 12:00:38.383 2019,30.81515,-1
31,2.434491,Wed May 15 12:00:38.444 2019,30.79135,-1
32,2.510298,Wed May 15 12:00:38.520 2019,30.75871,-1
33,2.585089,Wed May 15 12:00:38.595 2019,30.74666,-1
34,2.683825,Wed May 15 12:00:38.693 2019,30.75923,-1
35,2.823452,Wed May 15 12:00:38.833 2019,30.78194,-1
36,2.919197,Wed May 15 12:00:38.929 2019,30.76386,-1
37,2.980036,Wed May 15 12:00:38.990 2019,30.74937,-1
38,3.037878,Wed May 15 12:00:39.047 2019,30.76924,-1
40,3.175512,Wed May 15 12:00:39.185 2019,30.76434,-1
41,3.26228,Wed May 15 12:00:39.272 2019,30.77978,-1
42,3.35902,Wed May 15 12:00:39.369 2019,30.77981,-1
43,3.423847,Wed May 15 12:00:39.433 2019,30.73576,-1
44,3.500641,Wed May 15 12:00:39.510 2019,30.74628,-1
45,3.596387,Wed May 15 12:00:39.606 2019,30.70956,-1
46,3.680162,Wed May 15 12:00:39.690 2019,30.71467,-1
47,3.764934,Wed May 15 12:00:39.774 2019,30.67952,-1
48,3.836744,Wed May 15 12:00:39.846 2019,30.69417,-1
49,3.901575,Wed May 15 12:00:39.911 2019,30.70262,-1
50,3.989336,Wed May 15 12:00:39.999 2019,30.68072,-1
51,4.082091,Wed May 15 12:00:40.092 2019,30.67279,-1
52,4.164867,Wed May 15 12:00:40.174 2019,30.69493,-1
53,4.220716,Wed May 15 12:00:40.230 2019,30.68269,-1
54,4.288536,Wed May 15 12:00:40.298 2019,30.66789,-1
55,4.346384,Wed May 15 12:00:40.356 2019,30.66395,-1
56,4.414199,Wed May 15 12:00:40.424 2019,30.65434,-1
57,4.475037,Wed May 15 12:00:40.485 2019,30.68869,-1
58,4.564796,Wed May 15 12:00:40.574 2019,30.69668,-1
59,4.639597,Wed May 15 12:00:40.649 2019,30.72156,-1
60,4.710408,Wed May 15 12:00:40.720 2019,30.72794,-1
