Session,StartTime,startTimestamp,EndTime,EndTimestamp,Ontologies
Session 1,26.20991,Mon May 20 12:13:41.144 2019,11512.08,Mon May 20 12:19:05.014 2019,Computer Reading (CR)
Session 1,26.20991,Mon May 20 12:24:07.144 2019,11512.08,Mon May 20 12:28:39.014 2019,Computer Reading (CR)
Session 1,26.20991,Mon May 20 12:28:40.144 2019,11512.08,Mon May 20 12:29:00.014 2019,SP - Looking
Session 2,27.20991,Mon May 20 12:29:01.014 2019,11512.08,Mon May 20 13:00:59.014 2019,Computer Reading (CR)
Session 2,11512.08,Mon May 20 13:01:00.014 2019,11512.08,Mon May 20 13:03:35.014 2019,SP - Looking
Session 2,11512.08,Mon May 20 13:03:36.014 2019,11512.08,Mon May 20 13:09:39.014 2019,Computer Reading (CR)
Session 3,11512.08,Mon May 20 13:09:40.014 2019,11512.08,Mon May 20 13:10:00.014 2019,SP - Looking
Session 3,11512.08,Mon May 20 13:10:01.014 2019,11512.08,Mon May 20 13:23:39.014 2019,Computer Reading (CR)
Session 4,11512.08,Mon May 20 13:23:40.014 2019,11512.08,Mon May 20 13:32:20.014 2019,Break - Out
Session 4,11512.08,Mon May 20 13:32:21.014 2019,11512.08,Mon May 20 13:53:29.014 2019,Computer Reading (CR)
Session 4,11512.08,Mon May 20 14:03:30.014 2019,11512.08,Mon May 20 14:04:20.014 2019,SP - Looking
Session 4,11512.08,Mon May 20 14:04:21.014 2019,11512.08,Mon May 20 15:11:15.014 2019,Computer Reading (CR)
