Session,StartTime,startTimestamp,EndTime,EndTimestamp,Ontologies
Session 2,7.311442,Thu Jun 13 13:09:00.391 2019,13236.91,Thu Jun 13 13:19:16.990 2019,C - Talking (Skype & others)
Session 3,7.311442,Thu Jun 13 13:19:17.391 2019,13236.91,Thu Jun 13 13:20:06.990 2019,C - Writing/Reading
Session 4,7.311442,Thu Jun 13 13:20:07.391 2019,13236.91,Thu Jun 13 13:22:51.990 2019,"C - Reading, SP - Looking"
Session 5,7.311442,Thu Jun 13 13:22:52.391 2019,13236.91,Thu Jun 13 13:24:17.990 2019,C - Reading 
Session 6,7.311442,Thu Jun 13 13:24:18.391 2019,13236.91,Thu Jun 13 13:25:27.990 2019,SP - Looking
Session 7,7.311442,Thu Jun 13 13:25:28.391 2019,13236.91,Thu Jun 13 13:33:19.990 2019,C - Reading 
Session 8,7.311442,Thu Jun 13 13:33:20.391 2019,13236.91,Thu Jun 13 13:37:10.990 2019,SP - Looking
Session 9,7.311442,Thu Jun 13 13:37:11.990 2019,13236.91,Thu Jun 13 13:57:52.990 2019,C - Writing/Reading
Session 11,7.311442,Thu Jun 13 13:57:53.990 2019,13236.91,Thu Jun 13 14:14:30.990 2019,SP - Talking
Session 12,7.311442,Thu Jun 13 14:14:31.990 2019,13236.91,Thu Jun 13 14:19:10.990 2019,Break Out - Other
Session 13,7.311442,Thu Jun 13 14:19:11.990 2019,13236.91,Thu Jun 13 14:24:40.990 2019,C - Writing/Reading
Session 14,7.311442,Thu Jun 13 14:24:41.990 2019,13236.91,Thu Jun 13 14:26:44.990 2019,SP - Looking
Session 14,7.311442,Thu Jun 13 14:26:45.990 2019,13236.91,Thu Jun 13 14:37:35.990 2019,C - Writing/Reading
Session 15,7.311442,Thu Jun 13 14:37:36.990 2019,13236.91,Thu Jun 13 14:43:01.990 2019,Break Out - Other
Session 15,7.311442,Thu Jun 13 14:43:02.990 2019,13236.91,Thu Jun 13 15:00:40.990 2019,C - Reading
Session 15,7.311442,Thu Jun 13 15:00:41.990 2019,13236.91,Thu Jun 13 16:09:07.990 2019,C - Writing/Reading
Session 15,7.311442,Thu Jun 13 16:09:08.990 2019,13236.91,Thu Jun 13 16:32:49.990 2019,"C - Reading, C - Writing/Reading"
Session 16,7.311442,Thu Jun 13 16:32:50.990 2019,13236.91,Thu Jun 13 16:34:40.990 2019,H-H Interaction
Session 16,7.311442,Thu Jun 13 16:34:41.990 2019,13236.91,Thu Jun 13 16:49:36.990 2019,C - Reading
